Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,-0.369,3086
0.001,-0.371,3086
0.002,-0.366,3086
0.003,-0.351,3086
0.004,-0.326,3086
0.005,-0.296,3086
0.006,-0.266,3086
0.007,-0.241,3086
0.008,-0.209,3086
0.009,-0.190,3086
0.010,-0.171,3086
0.011,-0.164,3086
0.012,-0.169,3086
0.013,-0.181,3086
0.014,-0.204,3083
0.015,-0.230,3083
0.016,-0.261,3083
0.017,-0.285,3083
0.018,-0.307,3083
0.019,-0.321,3083
0.020,-0.321,3083
0.021,-0.309,3083
0.022,-0.291,3083
0.023,-0.269,3083
0.024,-0.241,3088
0.025,-0.206,3088
0.026,-0.181,3088
0.027,-0.163,3088
0.028,-0.144,3088
0.029,-0.136,3088
0.030,-0.134,3088
0.031,-0.144,3088
0.032,-0.165,3088
0.033,-0.191,3088
0.034,-0.229,3076
0.035,-0.270,3076
0.036,-0.309,3076
0.037,-0.340,3076
0.038,-0.356,3076
0.039,-0.364,3076
0.040,-0.341,3076
0.041,-0.306,3076
0.042,-0.284,3076
0.043,-0.250,3071
0.044,-0.194,3071
0.045,-0.169,3071
0.046,-0.135,3071
0.047,-0.114,3071
0.048,-0.105,3071
0.049,-0.100,3071
0.050,-0.106,3071
0.051,-0.124,3071
0.052,-0.144,3071
0.053,-0.175,3070
0.054,-0.207,3070
0.055,-0.241,3070
0.056,-0.261,3070
0.057,-0.289,3070
0.058,-0.304,3070
0.059,-0.309,3070
0.060,-0.289,3070
0.061,-0.274,3070
0.062,-0.245,3064
0.063,-0.206,3064
0.064,-0.180,3064
0.065,-0.144,3064
0.066,-0.126,3064
0.067,-0.111,3064
0.068,-0.107,3064
0.069,-0.113,3064
0.070,-0.125,3064
0.071,-0.141,3064
0.072,-0.165,3066
0.073,-0.186,3066
0.074,-0.205,3066
0.075,-0.216,3066
0.076,-0.228,3066
0.077,-0.230,3066
0.078,-0.229,3066
0.079,-0.216,3066
0.080,-0.160,3070
0.081,-0.091,3070
0.082,-0.061,3070
0.083,-0.034,3070
0.084,-0.021,3070
0.085,-0.016,3070
0.086,-0.024,3070
0.087,-0.044,3070
0.088,-0.070,3070
0.089,-0.107,3070
0.090,-0.142,3057
0.091,-0.181,3057
0.092,-0.210,3057
0.093,-0.241,3057
0.094,-0.260,3057
0.095,-0.270,3057
0.096,-0.274,3057
0.097,-0.266,3057
0.098,-0.256,3057
0.099,-0.234,3057
0.100,-0.176,3075
0.101,-0.136,3075
0.102,-0.134,3075
0.103,-0.134,3075
0.104,-0.147,3075
0.105,-0.170,3075
0.106,-0.198,3075
0.107,-0.228,3075
0.108,-0.266,3076
0.109,-0.304,3076
0.110,-0.336,3076
0.111,-0.364,3076
0.112,-0.384,3076
0.113,-0.391,3076
0.114,-0.391,3076
0.115,-0.384,3076
0.116,-0.359,3076
0.117,-0.329,3076
0.118,-0.292,3065
0.119,-0.256,3065
0.120,-0.195,3065
0.121,-0.171,3065
0.122,-0.166,3065
0.123,-0.184,3065
0.124,-0.194,3065
0.125,-0.206,3065
0.126,-0.251,3097
0.127,-0.285,3097
0.128,-0.310,3097
0.129,-0.344,3097
0.130,-0.364,3097
0.131,-0.381,3097
0.132,-0.389,3097
0.133,-0.388,3097
0.134,-0.371,3097
0.135,-0.345,3097
0.136,-0.306,3069
0.137,-0.274,3069
0.138,-0.244,3069
0.139,-0.211,3069
0.140,-0.174,3069
0.141,-0.170,3069
0.142,-0.176,3069
0.143,-0.191,3069
0.144,-0.214,3069
0.145,-0.244,3102
0.146,-0.271,3102
0.147,-0.297,3102
0.148,-0.329,3102
0.149,-0.350,3102
0.150,-0.364,3102
0.151,-0.364,3102
0.152,-0.352,3102
0.153,-0.333,3102
0.154,-0.301,3102
0.155,-0.268,3103
0.156,-0.229,3103
0.157,-0.189,3103
0.158,-0.170,3103
0.159,-0.149,3103
0.160,-0.141,3103
0.161,-0.176,3103
0.162,-0.201,3103
0.163,-0.226,3101
0.164,-0.254,3101
0.165,-0.287,3101
0.166,-0.306,3101
0.167,-0.326,3101
0.168,-0.333,3101
0.169,-0.331,3101
0.170,-0.324,3101
0.171,-0.296,3101
0.172,-0.275,3101
0.173,-0.249,3100
0.174,-0.224,3100
0.175,-0.204,3100
0.176,-0.186,3100
0.177,-0.176,3100
