Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,0.868,3108
0.001,-0.072,3108
0.002,-0.588,3108
0.003,-1.145,3108
0.004,-1.650,3108
0.005,-2.013,3108
0.006,-2.190,3108
0.007,-2.197,3108
0.008,-2.013,3108
0.009,-1.663,3097
0.010,-1.183,3097
0.011,-0.672,3097
0.012,-0.142,3097
0.013,0.398,3097
0.014,0.892,3097
0.015,1.255,3097
0.016,1.452,3097
0.017,1.462,3097
0.018,1.275,3097
0.019,0.932,3110
0.020,-0.177,3110
0.021,-0.578,3110
0.022,-1.113,3110
0.023,-1.613,3110
0.024,-1.978,3110
0.025,-2.147,3110
0.026,-2.163,3110
0.027,-1.978,3110
0.028,-1.607,3119
0.029,-1.147,3119
0.030,-0.652,3119
0.031,-0.122,3119
0.032,0.422,3119
0.033,0.917,3119
0.034,1.353,3119
0.035,1.460,3119
0.036,1.468,3119
0.037,1.272,3119
0.038,0.938,3119
0.039,0.468,3087
0.040,-0.688,3087
0.041,-1.228,3087
0.042,-1.630,3087
0.043,-1.992,3087
0.044,-2.178,3087
0.045,-2.188,3087
0.046,-2.005,3087
0.047,-1.660,3087
0.048,-1.198,3118
0.049,-0.670,3118
0.050,-0.147,3118
0.051,0.398,3118
0.052,0.902,3118
0.053,1.262,3118
0.054,1.452,3118
0.055,1.458,3118
0.056,1.258,3118
0.057,0.907,3118
0.058,0.438,3115
0.059,-0.083,3115
0.060,-1.248,3115
0.061,-1.673,3115
0.062,-2.013,3115
0.063,-2.188,3115
0.064,-2.203,3115
0.065,-2.010,3115
0.066,-1.673,3115
0.067,-1.210,3123
0.068,-0.682,3123
0.069,-0.163,3123
0.070,0.385,3123
0.071,0.890,3123
0.072,1.252,3123
0.073,1.448,3123
0.074,1.455,3123
0.075,1.258,3123
0.076,0.905,3123
0.077,0.450,3112
0.078,-0.085,3112
0.079,-0.608,3112
0.080,-1.725,3112
0.081,-2.013,3112
0.082,-2.183,3112
0.083,-2.188,3112
0.084,-2.002,3112
0.085,-1.657,3112
0.086,-1.188,3103
0.087,-0.662,3103
0.088,-0.128,3103
0.089,0.432,3103
0.090,0.938,3103
0.091,1.312,3103
0.092,1.498,3103
0.093,1.502,3103
0.094,1.310,3103
0.095,0.943,3103
0.096,0.477,3104
0.097,-0.060,3104
0.098,-0.583,3104
0.099,-1.133,3104
0.100,-2.035,3104
0.101,-2.178,3104
0.102,-2.183,3104
0.103,-2.007,3104
0.104,-1.663,3104
0.105,-1.202,3108
0.106,-0.685,3108
0.107,-0.163,3108
0.108,0.390,3108
0.109,0.877,3108
0.110,1.248,3108
0.111,1.427,3108
0.112,1.430,3108
0.113,1.240,3108
0.114,0.902,3108
0.115,0.438,3108
0.116,-0.087,3108
0.117,-0.593,3108
0.118,-1.153,3108
0.119,-1.650,3108
0.120,-2.215,3108
0.121,-2.167,3108
0.122,-1.982,3108
0.123,-1.653,3108
0.124,-1.173,3122
0.125,-0.593,3122
0.126,-0.098,3122
0.127,0.422,3122
0.128,0.907,3122
0.129,1.265,3122
0.130,1.458,3122
0.131,1.458,3122
0.132,1.258,3122
0.133,0.917,3122
0.134,0.455,3122
0.135,-0.060,3122
0.136,-0.608,3122
0.137,-1.153,3122
0.138,-1.660,3122
0.139,-2.022,3122
0.140,-2.212,3122
0.141,-2.033,3122
0.142,-1.710,3122
0.143,-1.250,3108
0.144,-0.723,3108
0.145,-0.177,3108
0.146,0.372,3108
0.147,0.873,3108
0.148,1.238,3108
0.149,1.433,3108
0.150,1.458,3108
0.151,1.260,3108
0.152,0.917,3108
0.153,0.458,3134
0.154,-0.062,3134
0.155,-0.608,3134
0.156,-1.150,3134
0.157,-1.660,3134
0.158,-2.018,3134
0.159,-2.188,3134
0.160,-1.968,3134
0.161,-1.643,3134
0.162,-1.188,3092
0.163,-0.662,3092
0.164,-0.122,3092
0.165,0.417,3092
0.166,0.912,3092
0.167,1.275,3092
0.168,1.472,3092
0.169,1.488,3092
0.170,1.298,3092
0.171,0.935,3092
0.172,0.463,3121
0.173,-0.058,3121
0.174,-0.603,3121
0.175,-1.147,3121
0.176,-1.655,3121
0.177,-2.018,3121
0.178,-2.203,3121
0.179,-2.210,3121
0.180,-1.633,3121
0.181,-1.228,3132
0.182,-0.713,3132
0.183,-0.182,3132
0.184,0.378,3132
0.185,0.887,3132
0.186,1.248,3132
0.187,1.455,3132
0.188,1.472,3132
0.189,1.302,3132
0.190,0.948,3132
0.191,0.502,3102
0.192,-0.040,3102
0.193,-0.568,3102
0.194,-1.127,3102
0.195,-1.645,3102
0.196,-2.013,3102
0.197,-2.188,3102
0.198,-2.215,3102
0.199,-2.027,3102
0.200,-1.150,3145
0.201,-0.147,3145
0.202,0.370,3145
0.203,0.868,3145
0.204,1.248,3145
0.205,1.450,3145
0.206,1.465,3145
0.207,1.270,3145
0.208,0.932,3145
0.209,0.463,3117
0.210,-0.068,3117
0.211,-0.603,3117
0.212,-1.153,3117
0.213,-1.653,3117
0.214,-2.013,3117
0.215,-2.192,3117
0.216,-2.203,3117
0.217,-2.018,3117
0.218,-1.683,3117
0.219,-1.202,3115
0.220,-0.040,3115
0.221,0.398,3115
0.222,0.917,3115
0.223,1.292,3115
0.224,1.472,3115
0.225,1.498,3115
0.226,1.308,3115
0.227,0.953,3115
0.228,0.472,3137
0.229,-0.048,3137
0.230,-0.568,3137
0.231,-1.125,3137
0.232,-1.627,3137
0.233,-1.982,3137
0.234,-2.167,3137
0.235,-2.180,3137
0.236,-1.990,3137
0.237,-1.650,3137
0.238,-1.177,3134
0.239,-0.660,3134
0.240,0.507,3134
0.241,0.912,3134
0.242,1.272,3134
0.243,1.468,3134
0.244,1.472,3134
0.245,1.272,3134
0.246,0.932,3134
0.247,0.465,3140
0.248,-0.062,3140
0.249,-0.590,3140
0.250,-1.150,3140
0.251,-1.655,3140
0.252,-2.022,3140
0.253,-2.197,3140
0.254,-2.212,3140
0.255,-2.027,3140
0.256,-1.683,3140
0.257,-1.202,3137
0.258,-0.682,3137
0.259,-0.163,3137
0.260,0.958,3137
0.261,1.260,3137
0.262,1.438,3137
0.263,1.438,3137
0.264,1.250,3137
0.265,0.902,3137
0.266,0.432,3128
0.267,-0.098,3128
0.268,-0.647,3128
0.269,-1.177,3128
0.270,-1.675,3128
0.271,-2.033,3128
0.272,-2.210,3128
0.273,-2.212,3128
0.274,-2.022,3128
0.275,-1.667,3128
0.276,-1.192,3131
0.277,-0.685,3131
0.278,-0.138,3131
0.279,0.410,3131
0.280,1.327,3131
0.281,1.472,3131
0.282,1.298,3131
0.283,0.950,3131
0.284,0.497,3133
0.285,-0.043,3133
0.286,-0.573,3133
0.287,-1.107,3133
0.288,-1.613,3133
0.289,-1.965,3133
0.290,-2.140,3133
0.291,-2.145,3133
0.292,-1.968,3133
0.293,-1.627,3133
0.294,-1.167,3133
0.295,-0.667,3120
0.296,-0.138,3120
0.297,0.407,3120
0.298,0.890,3120
0.299,1.248,3120
0.300,1.423,3120
0.301,1.250,3120
0.302,0.900,3120
0.303,0.438,3120
0.304,-0.087,3116
0.305,-0.642,3116
0.306,-1.177,3116
0.307,-1.685,3116
0.308,-2.033,3116
0.309,-2.210,3116
0.310,-2.208,3116
0.311,-2.027,3116
0.312,-1.670,3116
0.313,-1.202,3116
0.314,-0.690,3109
0.315,-0.128,3109
0.316,0.420,3109
0.317,0.912,3109
0.318,1.272,3109
0.319,1.468,3109
0.320,1.208,3109
0.321,0.897,3109
0.322,0.438,3109
0.323,-0.072,3112
0.324,-0.657,3112
0.325,-1.173,3112
0.326,-1.683,3112
0.327,-2.033,3112
0.328,-2.210,3112
0.329,-2.212,3112
