Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
1.096,-0.805,3115
1.100,-0.297,3115
1.104,0.198,3113
1.108,0.685,3113
1.112,1.052,3113
1.116,1.292,3113
1.120,1.210,3113
1.124,0.975,3113
1.128,0.575,3113
1.132,0.113,3113
1.136,-0.385,3113
1.140,-0.895,3116
1.144,-1.367,3116
1.148,-1.732,3116
1.152,-1.952,3116
1.156,-2.027,3116
1.160,-1.927,3116
1.164,-1.667,3116
1.168,-1.290,3116
1.172,-0.818,3116
1.176,-0.333,3116
1.180,0.182,3116
1.184,0.667,3116
1.188,1.048,3116
1.192,1.270,3116
1.196,1.367,3116
1.200,0.927,3116
1.204,0.593,3116
1.208,0.130,3116
1.212,-0.365,3116
1.216,-0.868,3124
1.220,-1.353,3124
1.224,-1.712,3124
1.228,-1.948,3124
1.232,-2.022,3124
1.236,-1.927,3124
1.240,-1.660,3124
1.244,-1.262,3124
1.248,-0.802,3124
1.252,-0.297,3124
1.256,0.212,3117
1.260,0.693,3117
1.264,1.067,3117
1.268,1.312,3117
1.272,1.385,3117
1.276,1.298,3117
1.280,0.552,3117
1.284,0.152,3117
1.288,-0.343,3117
1.292,-0.863,3108
1.296,-1.353,3108
1.300,-1.738,3108
1.304,-1.968,3108
1.308,-2.038,3108
1.312,-1.938,3108
1.316,-1.683,3108
1.320,-1.292,3108
1.324,-0.810,3108
1.328,-0.307,3108
1.332,0.207,3127
1.336,0.688,3127
1.340,1.062,3127
1.344,1.302,3127
1.348,1.370,3127
1.352,1.252,3127
1.356,0.988,3127
1.360,0.048,3127
1.364,-0.383,3127
1.368,-0.978,3118
1.372,-1.738,3118
1.376,-1.955,3118
1.380,-2.018,3118
1.384,-1.907,3118
1.388,-1.647,3118
1.392,-1.232,3118
1.396,-0.767,3118
1.400,-0.275,3118
1.404,0.228,3129
1.408,0.700,3129
1.412,1.067,3129
1.416,1.302,3129
1.420,1.377,3129
1.424,1.262,3129
1.428,1.005,3129
1.432,0.613,3129
1.436,0.138,3129
1.440,-0.950,3140
1.444,-1.742,3140
1.448,-1.978,3140
1.452,-2.053,3140
1.456,-1.965,3140
1.460,-1.698,3140
1.464,-1.302,3140
1.468,-0.828,3140
1.472,-0.338,3140
1.476,0.175,3128
1.480,0.655,3128
1.484,1.038,3128
1.488,1.268,3128
1.492,1.353,3128
1.496,1.248,3128
1.500,0.993,3128
1.504,0.593,3128
1.508,0.117,3128
1.512,-0.383,3128
1.516,-0.892,3130
1.520,-1.792,3130
1.524,-1.972,3130
1.528,-2.033,3130
1.532,-1.942,3130
1.536,-1.688,3130
1.540,-1.298,3130
1.544,-0.823,3130
1.548,-0.328,3130
1.552,0.180,3132
1.556,0.662,3132
1.560,1.048,3132
1.564,1.275,3132
1.568,1.367,3132
1.572,1.265,3132
1.576,0.998,3132
1.580,0.598,3132
1.584,0.140,3132
1.588,-0.365,3132
1.592,-0.865,3129
1.596,-1.367,3129
1.600,-1.988,3129
1.604,-2.047,3129
1.608,-1.952,3129
1.612,-1.698,3129
1.616,-1.305,3129
1.620,-0.833,3129
1.624,-0.328,3129
1.628,0.188,3117
1.632,0.675,3117
1.636,1.058,3117
1.640,1.302,3117
1.644,1.383,3117
1.648,1.268,3117
1.652,1.012,3117
1.656,0.618,3117
1.660,0.147,3117
1.664,-0.347,3117
1.668,-0.858,3141
1.672,-1.345,3141
1.676,-1.722,3141
1.680,-2.030,3141
1.684,-1.942,3141
1.688,-1.683,3141
1.692,-1.292,3141
1.696,-0.823,3141
1.700,-0.328,3141
1.704,0.190,3131
1.708,0.688,3131
1.712,1.058,3131
1.716,1.300,3131
1.720,1.380,3131
1.724,1.262,3131
1.728,1.015,3131
1.732,0.593,3131
1.736,0.147,3131
1.740,-0.345,3131
1.744,-0.865,3129
1.748,-1.363,3129
1.752,-1.738,3129
1.756,-1.978,3129
1.760,-1.927,3129
1.764,-1.700,3129
1.768,-1.308,3129
1.772,-0.828,3129
1.776,-0.323,3129
1.780,0.188,3130
1.784,0.672,3130
1.788,1.062,3130
1.792,1.317,3130
1.796,1.400,3130
1.800,1.312,3130
1.804,1.052,3130
1.808,0.657,3130
1.812,0.172,3130
1.816,-0.338,3130
1.820,-0.858,3105
1.824,-1.365,3105
1.828,-1.740,3105
1.832,-1.978,3105
1.836,-2.060,3105
1.840,-1.633,3105
1.844,-1.300,3105
1.848,-0.825,3105
1.852,-0.328,3105
1.856,0.188,3124
1.860,0.665,3124
1.864,1.052,3124
1.868,1.298,3124
1.872,1.383,3124
1.876,1.298,3124
1.880,1.022,3124
1.884,0.620,3124
1.888,0.145,3124
1.892,-0.352,3124
1.896,-0.868,3124
1.900,-1.353,3123
1.904,-1.742,3123
1.908,-1.978,3123
1.912,-2.047,3123
1.916,-1.960,3123
1.920,-1.228,3123
1.924,-0.830,3123
1.928,-0.333,3123
1.932,0.190,3123
1.936,0.672,3117
1.940,1.073,3117
1.944,1.317,3117
1.948,1.390,3117
1.952,1.298,3117
1.956,1.020,3117
1.960,0.620,3117
1.964,0.147,3117
1.968,-0.347,3117
1.972,-0.865,3117
1.976,-1.347,3112
1.980,-1.738,3112
1.984,-1.962,3112
1.988,-2.033,3112
1.992,-1.942,3112
1.996,-1.677,3112
2.000,-0.623,3112
2.004,-0.175,3112
2.008,0.212,3112
2.012,0.782,3113
2.016,1.347,3113
2.020,1.420,3113
2.024,1.317,3113
2.028,1.038,3113
2.032,0.632,3113
2.036,0.158,3113
2.040,-0.347,3113
2.044,-0.873,3113
2.048,-1.373,3115
2.052,-1.772,3115
2.056,-1.992,3115
2.060,-2.083,3115
2.064,-1.978,3115
2.068,-1.728,3115
2.072,-1.323,3115
2.076,-0.843,3115
2.080,0.260,3099
2.084,1.093,3099
2.088,1.327,3099
2.092,1.383,3099
2.096,1.262,3099
2.100,1.028,3099
2.104,0.618,3099
2.108,0.147,3099
2.112,-0.375,3099
2.116,-0.882,3099
2.120,-1.357,3106
2.124,-1.762,3106
2.128,-1.978,3106
2.132,-2.053,3106
2.136,-1.965,3106
2.140,-1.698,3106
2.144,-1.298,3106
2.148,-0.823,3106
2.152,-0.328,3106
2.156,0.193,3106
2.160,1.103,3106
2.164,1.373,3106
2.168,1.255,3106
2.172,1.012,3106
2.176,0.590,3106
2.180,0.115,3106
2.184,-0.388,3106
2.188,-0.902,3106
2.192,-1.377,3110
2.196,-1.768,3110
2.200,-1.982,3110
2.204,-2.055,3110
2.208,-1.965,3110
2.212,-1.698,3110
2.216,-1.308,3110
2.220,-0.820,3110
2.224,-0.307,3110
2.228,0.212,3110
2.232,0.700,3120
2.236,1.075,3120
2.240,1.377,3120
2.244,1.270,3120
2.248,0.960,3120
2.252,0.610,3120
2.256,0.138,3120
2.260,-0.367,3120
2.264,-1.008,3113
2.268,-1.782,3113
2.272,-1.985,3113
2.276,-2.062,3113
2.280,-1.972,3113
2.284,-1.702,3113
2.288,-1.308,3113
2.292,-0.830,3113
2.296,-0.328,3113
2.300,0.193,3113
2.304,0.672,3113
2.308,1.077,3113
2.312,1.302,3113
2.316,1.380,3113
2.320,0.943,3113
2.324,0.595,3113
2.328,0.117,3113
2.332,-0.385,3113
2.336,-0.902,3113
2.340,-1.393,3129
2.344,-1.782,3129
2.348,-2.010,3129
2.352,-2.087,3129
2.356,-1.982,3129
2.360,-1.725,3129
2.364,-1.335,3129
2.368,-0.853,3129
2.372,-0.352,3129
2.376,0.172,3129
2.380,0.657,3108
2.384,1.048,3108
2.388,1.270,3108
2.392,1.357,3108
2.396,1.268,3108
2.400,0.550,3108
2.404,0.152,3108
2.408,-0.347,3108
2.412,-0.865,3108
2.416,-1.347,3118
2.420,-1.740,3118
2.424,-1.975,3118
2.428,-2.058,3118
2.432,-1.968,3118
2.436,-1.702,3118
2.440,-1.320,3118
2.444,-0.843,3118
2.448,-0.347,3118
2.452,0.172,3118
2.456,0.655,3137
2.460,1.052,3137
2.464,1.300,3137
2.468,1.383,3137
2.472,1.275,3137
2.476,1.018,3137
2.480,0.070,3137
2.484,-0.352,3137
2.488,-0.870,3137
2.492,-1.393,3136
2.496,-1.770,3136
2.500,-1.982,3136
2.504,-2.058,3136
2.508,-1.970,3136
2.512,-1.708,3136
2.516,-1.292,3136
2.520,-0.828,3136
2.524,-0.343,3136
2.528,0.172,3136
2.532,0.640,3142
2.536,1.032,3142
2.540,1.258,3142
2.544,1.343,3142
2.548,1.238,3142
2.552,0.988,3142
2.556,0.593,3142
2.560,-0.450,3142
2.564,-0.973,3142
2.568,-1.380,3138
2.572,-1.778,3138
2.576,-1.982,3138
2.580,-2.053,3138
2.584,-1.962,3138
2.588,-1.698,3138
2.592,-1.305,3138
2.596,-0.828,3138
2.600,-0.205,3138
2.604,0.273,3138
2.608,0.662,3118
2.612,1.058,3118
2.616,1.300,3118
2.620,1.387,3118
2.624,1.308,3118
2.628,1.028,3118
2.632,0.637,3118
2.636,0.175,3118
2.640,-0.927,3118
2.644,-1.330,3116
2.648,-1.728,3116
2.652,-1.988,3116
2.656,-2.042,3116
2.660,-1.952,3116
2.664,-1.688,3116
2.668,-1.308,3116
2.672,-0.833,3116
2.676,-0.343,3116
2.680,0.180,3116
2.684,0.662,3118
2.688,1.062,3118
2.692,1.312,3118
2.696,1.393,3118
2.700,1.308,3118
2.704,1.038,3118
2.708,0.632,3118
2.712,0.152,3118
2.716,-0.383,3118
2.720,-1.405,3121
2.724,-1.978,3121
2.728,-2.035,3121
2.732,-1.952,3121
2.736,-1.692,3121
2.740,-1.305,3121
2.744,-0.843,3121
2.748,-0.338,3121
2.752,0.177,3121
2.756,0.635,3119
2.760,1.030,3119
2.764,1.258,3119
2.768,1.350,3119
2.772,1.252,3119
2.776,1.008,3119
2.780,0.620,3119
