Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,-1.407,3059
0.001,-1.768,3059
0.002,-2.053,3059
0.003,-2.167,3059
0.004,-2.123,3059
0.005,-1.930,3094
0.006,-1.625,3094
0.007,-1.232,3094
0.008,-0.743,3094
0.009,-0.168,3094
0.010,0.388,3094
0.011,0.823,3094
0.012,1.110,3094
0.013,1.228,3094
0.014,1.183,3094
0.015,0.930,3063
0.016,0.300,3063
0.017,-0.193,3063
0.018,-0.772,3063
0.019,-1.325,3063
0.020,-2.087,3063
0.021,-2.165,3063
0.022,-2.107,3063
0.023,-1.927,3038
0.024,-1.613,3038
0.025,-1.220,3038
0.026,-0.728,3038
0.027,-0.142,3038
0.028,0.393,3038
0.029,0.830,3038
0.030,1.113,3038
0.031,1.228,3038
0.032,1.173,3038
0.033,0.973,3067
0.034,0.662,3067
0.035,0.278,3067
0.036,-0.217,3067
0.037,-0.802,3067
0.038,-1.337,3067
0.039,-1.772,3067
0.040,-2.160,3067
0.041,-2.062,3076
0.042,-1.607,3076
0.043,-1.220,3076
0.044,-0.733,3076
0.045,-0.168,3076
0.046,0.385,3076
0.047,0.818,3076
0.048,1.097,3076
0.049,1.222,3076
0.050,1.167,3076
0.051,0.978,3088
0.052,0.667,3088
0.053,0.290,3088
0.054,-0.210,3088
0.055,-0.785,3088
0.056,-1.337,3088
0.057,-1.772,3088
0.058,-2.047,3088
0.059,-2.165,3088
0.060,-1.825,3076
0.061,-1.185,3076
0.062,-0.715,3076
0.063,-0.058,3076
0.064,0.393,3076
0.065,0.797,3076
0.066,1.093,3076
0.067,1.212,3076
0.068,1.153,3076
0.069,0.958,3082
0.070,0.608,3082
0.071,0.263,3082
0.072,-0.223,3082
0.073,-0.815,3082
0.074,-1.367,3082
0.075,-1.802,3082
0.076,-2.083,3082
0.077,-2.188,3082
0.078,-2.132,3082
0.079,-1.933,3053
0.080,-1.153,3053
0.081,-0.713,3053
0.082,-0.142,3053
0.083,0.400,3053
0.084,0.833,3053
0.085,1.115,3053
0.086,1.225,3053
0.087,1.173,3053
0.088,0.958,3088
0.089,0.657,3088
0.090,0.263,3088
0.091,-0.282,3088
0.092,-0.870,3088
0.093,-1.367,3088
0.094,-1.802,3088
0.095,-2.087,3088
0.096,-2.188,3088
0.097,-2.138,3088
0.098,-1.927,3086
0.099,-1.613,3086
0.100,-0.623,3086
0.101,-0.043,3086
0.102,0.420,3086
0.103,0.828,3086
0.104,1.133,3086
0.105,1.250,3086
0.106,1.208,3086
0.107,1.020,3051
0.108,0.710,3051
0.109,0.307,3051
0.110,-0.217,3051
0.111,-0.848,3051
0.112,-1.343,3051
0.113,-1.788,3051
0.114,-2.083,3051
0.115,-2.183,3051
0.116,-2.123,3051
0.117,-1.930,3091
0.118,-1.620,3091
0.119,-1.228,3091
0.120,-0.072,3091
0.121,0.390,3091
0.122,0.828,3091
0.123,1.110,3091
0.124,1.228,3091
0.125,1.177,3091
0.126,0.960,3093
0.127,0.660,3093
0.128,0.278,3093
0.129,-0.228,3093
0.130,-0.810,3093
0.131,-1.347,3093
0.132,-1.785,3093
0.133,-2.058,3093
0.134,-2.167,3093
0.135,-2.110,3093
0.136,-1.907,3100
0.137,-1.607,3100
0.138,-1.215,3100
0.139,-0.713,3100
0.140,0.477,3100
0.141,0.845,3100
0.142,1.113,3100
0.143,1.230,3100
0.144,1.177,3100
0.145,0.985,3076
0.146,0.667,3076
0.147,0.287,3076
0.148,-0.207,3076
0.149,-0.782,3076
0.150,-1.337,3076
0.151,-1.775,3076
0.152,-2.053,3076
0.153,-2.165,3076
0.154,-2.103,3076
0.155,-1.893,3081
0.156,-1.577,3081
0.157,-1.195,3081
0.158,-0.667,3081
0.159,-0.133,3081
0.160,0.907,3081
0.161,1.232,3081
0.162,1.177,3081
0.163,0.917,3087
0.164,0.223,3087
0.165,-0.228,3087
0.166,-0.815,3087
0.167,-1.365,3087
0.168,-1.790,3087
0.169,-2.083,3087
0.170,-2.183,3087
0.171,-2.127,3087
0.172,-1.930,3056
0.173,-1.623,3056
0.174,-1.230,3056
0.175,-0.740,3056
0.176,-0.172,3056
0.177,0.388,3056
0.178,0.823,3056
0.179,1.103,3056
0.180,1.140,3056
0.181,0.973,3086
0.182,0.660,3086
0.183,0.273,3086
0.184,-0.228,3086
0.185,-0.807,3086
0.186,-1.353,3086
0.187,-1.785,3086
0.188,-2.062,3086
0.189,-2.180,3086
0.190,-2.120,3086
0.191,-1.923,3095
0.192,-1.613,3095
0.193,-1.218,3095
0.194,-0.713,3095
0.195,-0.145,3095
