Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,-1.288,3360
0.001,-1.173,3361
0.002,-0.882,3361
0.003,-0.588,3361
0.004,-0.220,3361
0.005,0.100,3361
0.006,0.340,3361
0.007,0.463,3361
0.008,0.507,3361
0.009,0.477,3361
0.010,0.410,3385
0.011,0.287,3385
0.012,0.130,3385
0.013,-0.182,3385
0.014,-0.550,3385
0.015,-0.863,3385
0.016,-1.087,3385
0.017,-1.228,3385
0.018,-1.262,3385
0.019,-1.248,3385
0.020,-1.055,3365
0.021,-0.593,3365
0.022,-0.250,3365
0.023,0.068,3365
0.024,0.287,3365
0.025,0.417,3365
0.026,0.453,3365
0.027,0.427,3365
0.028,0.347,3372
0.029,0.233,3372
0.030,0.087,3372
0.031,-0.223,3372
0.032,-0.588,3372
0.033,-0.897,3372
0.034,-1.110,3372
0.035,-1.230,3372
0.036,-1.262,3372
0.037,-1.232,3372
0.038,-1.160,3367
0.039,-1.042,3367
0.040,-0.490,3367
0.041,-0.182,3367
0.042,0.133,3367
0.043,0.352,3367
0.044,0.472,3367
0.045,0.512,3367
0.046,0.472,3367
0.047,0.393,3378
0.048,0.273,3378
0.049,0.102,3378
0.050,-0.212,3378
0.051,-0.573,3378
0.052,-0.873,3378
0.053,-1.100,3378
0.054,-1.222,3378
0.055,-1.252,3378
0.056,-1.222,3378
0.057,-1.145,3360
0.058,-1.028,3360
0.059,-0.863,3360
0.060,-0.128,3360
0.061,0.128,3360
0.062,0.343,3360
0.063,0.463,3360
0.064,0.502,3360
0.065,0.463,3360
0.066,0.388,3350
0.067,0.263,3350
0.068,0.095,3350
0.069,-0.228,3350
0.070,-0.588,3350
0.071,-0.897,3350
0.072,-1.103,3350
0.073,-1.220,3350
0.074,-1.252,3350
0.075,-1.212,3350
0.076,-1.147,3364
0.077,-1.028,3364
0.078,-0.853,3364
0.079,-0.537,3364
0.080,0.182,3364
0.081,0.352,3364
0.082,0.463,3364
0.083,0.500,3364
0.084,0.450,3364
0.085,0.378,3379
0.086,0.268,3379
0.087,0.098,3379
0.088,-0.217,3379
0.089,-0.598,3379
0.090,-0.892,3379
0.091,-1.087,3379
0.092,-1.208,3379
0.093,-1.238,3379
0.094,-1.202,3379
0.095,-1.137,3354
0.096,-1.022,3354
0.097,-0.853,3354
0.098,-0.532,3354
0.099,-0.180,3354
0.100,0.367,3354
0.101,0.458,3354
0.102,0.495,3354
0.103,0.463,3354
0.104,0.385,3350
0.105,0.268,3350
0.106,0.102,3350
0.107,-0.210,3350
0.108,-0.568,3350
0.109,-0.858,3350
0.110,-1.062,3350
0.111,-1.183,3350
0.112,-1.220,3350
0.113,-1.183,3350
0.114,-1.105,3350
0.115,-1.008,3348
0.116,-0.833,3348
0.117,-0.527,3348
0.118,-0.175,3348
0.119,0.133,3348
0.120,0.453,3348
0.121,0.460,3348
0.122,0.412,3348
0.123,0.345,3348
0.124,0.233,3351
0.125,0.052,3351
0.126,-0.265,3351
0.127,-0.623,3351
0.128,-0.922,3351
0.129,-1.137,3351
0.130,-1.242,3351
0.131,-1.260,3351
0.132,-1.222,3351
0.133,-1.143,3351
0.134,-1.022,3368
0.135,-0.843,3368
0.136,-0.527,3368
0.137,-0.172,3368
0.138,0.133,3368
0.139,0.347,3368
0.140,0.472,3368
0.141,0.448,3368
0.142,0.378,3368
0.143,0.258,3345
0.144,0.070,3345
0.145,-0.255,3345
0.146,-0.618,3345
0.147,-0.912,3345
0.148,-1.140,3345
0.149,-1.248,3345
0.150,-1.260,3345
0.151,-1.228,3345
0.152,-1.147,3345
0.153,-1.035,3351
0.154,-0.858,3351
0.155,-0.537,3351
0.156,-0.193,3351
0.157,0.113,3351
0.158,0.312,3351
0.159,0.438,3351
0.160,0.432,3351
0.161,0.372,3351
0.162,0.258,3335
0.163,0.087,3335
0.164,-0.230,3335
0.165,-0.593,3335
0.166,-0.892,3335
0.167,-1.107,3335
0.168,-1.218,3335
0.169,-1.250,3335
0.170,-1.212,3335
0.171,-1.140,3335
0.172,-1.025,3332
0.173,-0.853,3332
0.174,-0.547,3332
0.175,-0.207,3332
0.176,0.102,3332
0.177,0.312,3332
0.178,0.432,3332
0.179,0.468,3332
0.180,0.352,3350
0.181,0.033,3350
0.182,-0.260,3350
0.183,-0.603,3350
0.184,-0.897,3350
0.185,-1.097,3350
0.186,-1.212,3350
0.187,-1.232,3350
0.188,-1.205,3350
0.189,-1.130,3350
0.190,-1.018,3322
0.191,-0.823,3322
0.192,-0.500,3322
0.193,-0.147,3322
0.194,0.147,3322
0.195,0.352,3322
0.196,0.455,3322
0.197,0.477,3322
0.198,0.440,3322
0.199,0.367,3322
0.200,0.028,3343
0.201,-0.623,3343
0.202,-0.912,3343
0.203,-1.133,3343
0.204,-1.228,3343
0.205,-1.252,3343
0.206,-1.212,3343
0.207,-1.135,3343
0.208,-1.018,3353
0.209,-0.833,3353
0.210,-0.512,3353
0.211,-0.163,3353
0.212,0.142,3353
0.213,0.347,3353
0.214,0.453,3353
0.215,0.470,3353
0.216,0.438,3353
0.217,0.362,3353
0.218,0.253,3353
0.219,0.062,3353
0.220,-0.688,3353
0.221,-0.922,3353
0.222,-1.133,3353
0.223,-1.238,3353
0.224,-1.262,3353
0.225,-1.228,3353
0.226,-1.147,3353
0.227,-1.020,3365
0.228,-0.830,3365
0.229,-0.507,3365
0.230,-0.163,3365
0.231,0.142,3365
0.232,0.352,3365
0.233,0.463,3365
0.234,0.492,3365
0.235,0.458,3365
0.236,0.383,3365
0.237,0.270,3367
0.238,0.077,3367
0.239,-0.245,3367
0.240,-0.940,3367
0.241,-1.110,3367
0.242,-1.220,3367
0.243,-1.252,3367
0.244,-1.218,3367
0.245,-1.133,3367
0.246,-1.015,3369
0.247,-0.823,3369
0.248,-0.502,3369
0.249,-0.147,3369
0.250,0.140,3369
0.251,0.345,3369
0.252,0.450,3369
0.253,0.468,3369
0.254,0.432,3369
0.255,0.355,3369
0.256,0.235,3355
0.257,0.058,3355
0.258,-0.263,3355
0.259,-0.642,3355
0.260,-1.163,3355
0.261,-1.242,3355
0.262,-1.258,3355
0.263,-1.232,3355
0.264,-1.153,3355
0.265,-1.032,3356
0.266,-0.833,3356
0.267,-0.502,3356
0.268,-0.128,3356
0.269,0.147,3356
0.270,0.350,3356
0.271,0.453,3356
0.272,0.470,3356
0.273,0.438,3356
0.274,0.225,3377
0.275,-0.282,3377
0.276,-0.647,3377
0.277,-0.932,3377
0.278,-1.137,3377
0.279,-1.250,3377
0.280,-1.225,3377
0.281,-1.167,3377
0.282,-1.050,3351
0.283,-0.853,3351
0.284,-0.530,3351
0.285,-0.168,3351
0.286,0.133,3351
0.287,0.338,3351
0.288,0.438,3351
0.289,0.460,3351
0.290,0.422,3351
0.291,0.340,3351
0.292,0.228,3362
0.293,0.030,3362
0.294,-0.290,3362
0.295,-0.652,3362
0.296,-0.935,3362
0.297,-1.135,3362
0.298,-1.232,3362
0.299,-1.260,3362
0.300,-1.110,3362
0.301,-1.018,3356
0.302,-0.818,3356
0.303,-0.492,3356
0.304,-0.128,3356
0.305,0.158,3356
0.306,0.370,3356
0.307,0.465,3356
0.308,0.480,3356
0.309,0.448,3356
0.310,0.372,3356
0.311,0.253,3360
0.312,0.043,3360
0.313,-0.297,3360
0.314,-0.657,3360
0.315,-0.935,3360
0.316,-1.133,3360
0.317,-1.228,3360
0.318,-1.250,3360
0.319,-1.208,3360
0.320,-0.983,3370
0.321,-0.453,3370
0.322,-0.113,3370
0.323,0.182,3370
0.324,0.375,3370
0.325,0.470,3370
0.326,0.497,3370
0.327,0.450,3370
0.328,0.367,3370
0.329,0.245,3331
0.330,0.043,3331
0.331,-0.297,3331
0.332,-0.662,3331
0.333,-0.938,3331
0.334,-1.140,3331
0.335,-1.228,3331
0.336,-1.238,3331
0.337,-1.192,3331
0.338,-1.100,3331
0.339,-0.983,3331
0.340,-0.383,3331
0.341,-0.090,3331
0.342,0.205,3331
0.343,0.388,3331
0.344,0.492,3331
0.345,0.497,3331
0.346,0.450,3331
0.347,0.372,3331
0.348,0.250,3369
0.349,0.045,3369
0.350,-0.292,3369
0.351,-0.657,3369
0.352,-0.938,3369
0.353,-1.143,3369
0.354,-1.228,3369
0.355,-1.238,3369
0.356,-1.202,3369
0.357,-1.110,3369
0.358,-1.005,3366
0.359,-0.805,3366
0.360,-0.072,3366
0.361,0.158,3366
0.362,0.367,3366
0.363,0.455,3366
0.364,0.465,3366
0.365,0.430,3366
0.366,0.357,3366
0.367,0.247,3357
0.368,0.037,3357
0.369,-0.300,3357
0.370,-0.660,3357
0.371,-0.943,3357
0.372,-1.145,3357
0.373,-1.250,3357
0.374,-1.292,3357
0.375,-1.252,3357
0.376,-1.167,3357
0.377,-1.052,3357
0.378,-0.848,3363
0.379,-0.512,3363
0.380,0.180,3363
0.381,0.338,3363
0.382,0.435,3363
0.383,0.458,3363
0.384,0.427,3363
0.385,0.350,3363
0.386,0.233,3363
0.387,0.043,3357
0.388,-0.302,3357
0.389,-0.660,3357
0.390,-0.935,3357
0.391,-1.133,3357
0.392,-1.222,3357
0.393,-1.248,3357
0.394,-1.212,3357
0.395,-1.133,3357
0.396,-1.012,3357
0.397,-0.820,3345
0.398,-0.482,3345
0.399,-0.130,3345
0.400,0.367,3345
0.401,0.430,3345
0.402,0.448,3345
0.403,0.407,3345
0.404,0.310,3345
0.405,0.198,3345
0.406,-0.010,3353
0.407,-0.340,3353
0.408,-0.682,3353
0.409,-0.945,3353
0.410,-1.137,3353
0.411,-1.228,3353
0.412,-1.228,3353
0.413,-1.180,3353
0.414,-1.100,3353
0.415,-0.985,3353
0.416,-0.775,3338
0.417,-0.432,3338
0.418,-0.102,3338
0.419,0.188,3338
0.420,0.477,3338
0.421,0.477,3338
0.422,0.438,3338
0.423,0.347,3338
0.424,0.225,3328
0.425,-0.343,3328
0.426,-0.682,3328
0.427,-0.965,3328
0.428,-1.160,3328
0.429,-1.252,3328
0.430,-1.292,3328
0.431,-1.232,3328
0.432,-1.147,3328
0.433,-1.025,3328
0.434,-0.818,3358
0.435,-0.458,3358
0.436,-0.107,3358
0.437,0.182,3358
0.438,0.380,3358
0.439,0.472,3358
0.440,0.438,3358
0.441,0.352,3358
0.442,0.247,3358
0.443,0.037,3344
0.444,-0.330,3344
0.445,-0.682,3344
0.446,-0.965,3344
0.447,-1.145,3344
0.448,-1.232,3344
0.449,-1.242,3344
0.450,-1.202,3344
0.451,-1.127,3344
0.452,-1.002,3344
0.453,-0.782,3333
0.454,-0.450,3333
0.455,-0.107,3333
0.456,0.170,3333
0.457,0.345,3333
0.458,0.427,3333
0.459,0.450,3333
0.460,0.292,3333
0.461,0.195,3333
0.462,-0.025,3361
0.463,-0.372,3361
0.464,-0.713,3361
0.465,-1.010,3361
0.466,-1.190,3361
0.467,-1.292,3361
0.468,-1.302,3361
0.469,-1.248,3361
0.470,-1.163,3361
0.471,-1.042,3361
0.472,-0.823,3341
0.473,-0.460,3341
0.474,-0.107,3341
0.475,0.195,3341
0.476,0.393,3341
0.477,0.495,3341
0.478,0.507,3341
0.479,0.460,3341
0.480,0.228,3341
0.481,0.037,3348
0.482,-0.335,3348
0.483,-0.682,3348
0.484,-0.970,3348
0.485,-1.160,3348
0.486,-1.258,3348
0.487,-1.290,3348
0.488,-1.230,3348
0.489,-1.153,3348
0.490,-1.032,3348
0.491,-0.818,3344
0.492,-0.465,3344
0.493,-0.128,3344
0.494,0.152,3344
0.495,0.345,3344
0.496,0.432,3344
0.497,0.455,3344
0.498,0.410,3344
0.499,0.318,3344
0.500,-0.055,3372
0.501,-0.693,3372
0.502,-0.968,3372
0.503,-1.150,3372
0.504,-1.238,3372
0.505,-1.258,3372
0.506,-1.212,3372
0.507,-1.135,3372
0.508,-1.010,3372
0.509,-0.777,3357
0.510,-0.425,3357
0.511,-0.090,3357
0.512,0.193,3357
0.513,0.378,3357
0.514,0.458,3357
0.515,0.463,3357
0.516,0.417,3357
0.517,0.318,3357
0.518,0.203,3357
0.519,-0.033,3375
0.520,-0.782,3375
0.521,-1.015,3375
0.522,-1.202,3375
0.523,-1.302,3375
0.524,-1.310,3375
0.525,-1.250,3375
0.526,-1.163,3375
0.527,-1.022,3375
0.528,-0.805,3358
0.529,-0.438,3358
0.530,-0.102,3358
0.531,0.182,3358
0.532,0.357,3358
0.533,0.448,3358
0.534,0.453,3358
0.535,0.407,3358
0.536,0.312,3358
0.537,0.193,3358
0.538,-0.043,3365
0.539,-0.383,3365
0.540,-1.050,3365
0.541,-1.208,3365
0.542,-1.300,3365
0.543,-1.292,3365
0.544,-1.190,3365
0.545,-1.130,3365
0.546,-1.008,3365
0.547,-0.738,3391
0.548,-0.417,3391
0.549,-0.070,3391
0.550,0.210,3391
0.551,0.390,3391
0.552,0.472,3391
0.553,0.497,3391
0.554,0.438,3391
0.555,0.357,3391
0.556,0.223,3391
0.557,-0.007,3371
0.558,-0.367,3371
0.559,-0.710,3371
0.560,-1.183,3371
0.561,-1.250,3371
0.562,-1.252,3371
0.563,-1.210,3371
0.564,-1.123,3371
0.565,-0.993,3371
0.566,-0.750,3334
0.567,-0.410,3334
0.568,-0.070,3334
0.569,0.205,3334
0.570,0.385,3334
0.571,0.463,3334
0.572,0.470,3334
0.573,0.417,3334
0.574,0.333,3334
0.575,0.207,3334
0.576,-0.028,3374
0.577,-0.388,3374
0.578,-0.728,3374
0.579,-1.002,3374
0.580,-1.250,3374
0.581,-1.258,3374
0.582,-1.212,3374
0.583,-1.127,3374
0.584,-1.008,3374
0.585,-0.770,3364
0.586,-0.420,3364
0.587,-0.087,3364
0.588,0.182,3364
0.589,0.370,3364
0.590,0.450,3364
0.591,0.458,3364
0.592,0.398,3364
0.593,0.307,3364
0.594,0.188,3364
0.595,-0.045,3364
0.596,-0.393,3364
0.597,-0.738,3364
0.598,-1.002,3364
0.599,-1.170,3364
0.600,-1.248,3364
0.601,-1.202,3364
0.602,-1.125,3364
0.603,-1.008,3364
0.604,-0.767,3347
0.605,-0.417,3347
0.606,-0.087,3347
0.607,0.188,3347
0.608,0.365,3347
0.609,0.450,3347
0.610,0.453,3347
0.611,0.412,3347
0.612,0.333,3347
0.613,0.212,3347
0.614,-0.030,3345
0.615,-0.390,3345
0.616,-0.735,3345
0.617,-1.008,3345
0.618,-1.175,3345
0.619,-1.262,3345
0.620,-1.212,3345
0.621,-1.095,3345
0.622,-1.002,3345
0.623,-0.743,3349
0.624,-0.383,3349
0.625,-0.050,3349
0.626,0.233,3349
0.627,0.412,3349
0.628,0.477,3349
0.629,0.477,3349
0.630,0.427,3349
0.631,0.330,3349
0.632,0.193,3349
0.633,-0.052,3357
0.634,-0.407,3357
0.635,-0.748,3357
0.636,-1.025,3357
0.637,-1.202,3357
0.638,-1.290,3357
0.639,-1.290,3357
0.640,-1.097,3357
0.641,-0.993,3357
0.642,-0.752,3357
0.643,-0.407,3348
0.644,-0.060,3348
0.645,0.217,3348
0.646,0.385,3348
0.647,0.463,3348
0.648,0.468,3348
0.649,0.420,3348
0.650,0.338,3348
0.651,0.205,3348
0.652,-0.043,3348
0.653,-0.427,3343
0.654,-0.762,3343
0.655,-1.015,3343
0.656,-1.180,3343
0.657,-1.260,3343
0.658,-1.258,3343
0.659,-1.202,3343
0.660,-0.973,3343
0.661,-0.750,3343
0.662,-0.407,3348
0.663,-0.068,3348
0.664,0.198,3348
0.665,0.372,3348
0.666,0.453,3348
0.667,0.460,3348
0.668,0.398,3348
0.669,0.305,3348
0.670,0.177,3348
0.671,-0.072,3348
0.672,-0.430,3346
0.673,-0.775,3346
0.674,-1.030,3346
0.675,-1.202,3346
0.676,-1.262,3346
0.677,-1.262,3346
0.678,-1.202,3346
0.679,-1.097,3346
0.680,-0.618,3350
0.681,-0.020,3350
0.682,0.233,3350
0.683,0.398,3350
0.684,0.468,3350
0.685,0.460,3350
0.686,0.398,3350
0.687,0.297,3350
0.688,0.180,3350
0.689,-0.070,3350
0.690,-0.422,3369
0.691,-0.772,3369
0.692,-1.030,3369
0.693,-1.208,3369
0.694,-1.295,3369
0.695,-1.292,3369
0.696,-1.228,3369
0.697,-1.143,3369
0.698,-1.018,3369
0.699,-0.767,3369
0.700,-0.030,3347
0.701,0.372,3347
0.702,0.440,3347
0.703,0.448,3347
0.704,0.393,3347
0.705,0.295,3347
0.706,0.172,3347
0.707,-0.087,3347
0.708,-0.438,3336
0.709,-0.777,3336
0.710,-1.030,3336
0.711,-1.188,3336
0.712,-1.252,3336
0.713,-1.250,3336
0.714,-1.185,3336
0.715,-1.083,3336
0.716,-0.943,3336
0.717,-0.700,3336
0.718,-0.350,3345
0.719,-0.022,3345
0.720,0.420,3345
0.721,0.455,3345
0.722,0.453,3345
0.723,0.390,3345
0.724,0.297,3345
0.725,0.172,3345
0.726,-0.087,3345
0.727,-0.432,3353
0.728,-0.777,3353
0.729,-1.032,3353
0.730,-1.190,3353
0.731,-1.262,3353
0.732,-1.260,3353
0.733,-1.210,3353
0.734,-1.123,3353
0.735,-0.990,3353
0.736,-0.735,3353
0.737,-0.388,3352
0.738,-0.052,3352
0.739,0.207,3352
0.740,0.455,3352
0.741,0.448,3352
0.742,0.390,3352
0.743,0.297,3352
0.744,0.172,3352
0.745,-0.085,3352
0.746,-0.443,3361
0.747,-0.780,3361
0.748,-1.028,3361
0.749,-1.200,3361
0.750,-1.262,3361
0.751,-1.258,3361
0.752,-1.205,3361
0.753,-1.103,3361
0.754,-0.978,3361
0.755,-0.708,3361
0.756,-0.365,3345
0.757,-0.028,3345
0.758,0.233,3345
0.759,0.393,3345
0.760,0.453,3345
0.761,0.383,3345
0.762,0.297,3345
0.763,0.180,3345
0.764,-0.083,3345
0.765,-0.430,3355
0.766,-0.775,3355
0.767,-1.028,3355
0.768,-1.190,3355
0.769,-1.255,3355
0.770,-1.258,3355
0.771,-1.208,3355
0.772,-1.107,3355
0.773,-0.932,3355
0.774,-0.713,3355
0.775,-0.362,3363
0.776,-0.028,3363
0.777,0.233,3363
0.778,0.393,3363
0.779,0.463,3363
0.780,0.393,3363
0.781,0.305,3363
0.782,0.177,3363
0.783,-0.092,3363
0.784,-0.445,3360
0.785,-0.785,3360
0.786,-1.032,3360
0.787,-1.188,3360
0.788,-1.252,3360
0.789,-1.248,3360
0.790,-1.183,3360
0.791,-1.087,3360
0.792,-0.948,3360
0.793,-0.698,3360
0.794,-0.345,3371
0.795,-0.007,3371
0.796,0.258,3371
0.797,0.427,3371
0.798,0.502,3371
0.799,0.495,3371
0.800,0.297,3371
0.801,0.180,3371
0.802,-0.092,3371
0.803,-0.453,3371
0.804,-0.805,3371
0.805,-1.052,3371
0.806,-1.212,3371
0.807,-1.288,3371
0.808,-1.262,3371
0.809,-1.212,3371
0.810,-1.110,3371
0.811,-0.983,3371
0.812,-0.718,3371
0.813,-0.362,3369
0.814,-0.030,3369
0.815,0.220,3369
0.816,0.380,3369
0.817,0.438,3369
0.818,0.435,3369
0.819,0.383,3369
0.820,0.113,3369
0.821,-0.113,3369
0.822,-0.465,3384
0.823,-0.818,3384
0.824,-1.060,3384
0.825,-1.212,3384
0.826,-1.285,3384
0.827,-1.252,3384
0.828,-1.190,3384
0.829,-1.087,3384
0.830,-0.943,3384
0.831,-0.688,3384
0.832,-0.328,3364
0.833,0.022,3364
0.834,0.268,3364
0.835,0.422,3364
0.836,0.472,3364
0.837,0.460,3364
0.838,0.395,3364
0.839,0.287,3364
0.840,-0.180,3364
0.841,-0.492,3379
0.842,-0.828,3379
0.843,-1.073,3379
0.844,-1.222,3379
0.845,-1.292,3379
0.846,-1.268,3379
0.847,-1.212,3379
0.848,-1.110,3379
0.849,-0.983,3379
0.850,-0.708,3379
0.851,-0.352,3367
0.852,-0.007,3367
0.853,0.245,3367
0.854,0.407,3367
0.855,0.468,3367
0.856,0.455,3367
0.857,0.385,3367
0.858,0.287,3367
0.859,0.145,3367
0.860,-0.550,3362
0.861,-1.083,3362
0.862,-1.232,3362
0.863,-1.298,3362
0.864,-1.265,3362
0.865,-1.202,3362
0.866,-1.103,3362
0.867,-0.973,3362
0.868,-0.690,3362
0.869,-0.330,3359
0.870,0.020,3359
0.871,0.268,3359
0.872,0.417,3359
0.873,0.472,3359
0.874,0.463,3359
0.875,0.398,3359
0.876,0.300,3359
0.877,0.158,3359
0.878,-0.098,3359
0.879,-0.455,3353
0.880,-1.070,3353
0.881,-1.200,3353
0.882,-1.250,3353
0.883,-1.238,3353
0.884,-1.180,3353
0.885,-1.083,3353
0.886,-0.938,3353
0.887,-0.682,3353
0.888,-0.328,3360
0.889,0.018,3360
0.890,0.253,3360
0.891,0.407,3360
0.892,0.460,3360
0.893,0.453,3360
0.894,0.388,3360
0.895,0.278,3360
0.896,0.142,3360
0.897,-0.133,3360
0.898,-0.482,3368
0.899,-0.818,3368
0.900,-1.228,3368
0.901,-1.262,3368
0.902,-1.260,3368
0.903,-1.202,3368
0.904,-1.103,3368
0.905,-0.970,3368
0.906,-0.690,3368
0.907,-0.333,3368
0.908,0.022,3345
0.909,0.273,3345
0.910,0.430,3345
0.911,0.502,3345
0.912,0.497,3345
0.913,0.427,3345
0.914,0.335,3345
0.915,0.188,3345
0.916,-0.087,3345
0.917,-0.450,3345
0.918,-0.802,3358
0.919,-1.058,3358
0.920,-1.298,3358
0.921,-1.290,3358
0.922,-1.218,3358
0.923,-1.123,3358
0.924,-0.978,3358
0.925,-0.698,3358
0.926,-0.340,3358
0.927,-0.013,3356
0.928,0.250,3356
0.929,0.390,3356
0.930,0.448,3356
0.931,0.432,3356
0.932,0.372,3356
0.933,0.265,3356
0.934,0.130,3356
0.935,-0.142,3356
0.936,-0.512,3356
0.937,-0.845,3347
0.938,-1.087,3347
0.939,-1.230,3347
0.940,-1.255,3347
0.941,-1.202,3347
0.942,-1.087,3347
0.943,-0.925,3347
0.944,-0.662,3347
0.945,-0.292,3347
0.946,0.048,3326
0.947,0.287,3326
0.948,0.430,3326
0.949,0.477,3326
0.950,0.468,3326
0.951,0.398,3326
0.952,0.292,3326
0.953,0.147,3326
0.954,-0.133,3326
0.955,-0.505,3326
0.956,-0.828,3347
0.957,-1.073,3347
0.958,-1.222,3347
0.959,-1.302,3347
0.960,-1.208,3347
0.961,-1.130,3347
0.962,-0.983,3347
0.963,-0.703,3347
0.964,-0.340,3347
0.965,-0.007,3357
0.966,0.255,3357
0.967,0.407,3357
0.968,0.463,3357
0.969,0.460,3357
0.970,0.398,3357
0.971,0.300,3357
0.972,0.152,3357
0.973,-0.125,3357
0.974,-0.497,3357
0.975,-0.828,3358
0.976,-1.073,3358
0.977,-1.222,3358
