Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,0.897,3113
0.004,0.347,3113
0.008,-0.343,3116
0.012,-1.062,3116
0.016,-1.732,3116
0.020,-2.292,3116
0.024,-2.627,3116
0.028,-2.760,3116
0.032,-2.647,3116
0.036,-2.303,3116
0.040,-1.772,3116
0.044,-1.105,3116
0.048,-0.422,3113
0.052,0.300,3113
0.056,0.983,3113
0.060,1.552,3113
0.064,1.933,3113
0.068,2.067,3113
0.072,1.950,3113
0.076,1.580,3113
0.080,0.268,3113
0.084,-0.323,3117
0.088,-1.052,3117
0.092,-1.732,3117
0.096,-2.303,3117
0.100,-2.652,3117
0.104,-2.780,3117
0.108,-2.690,3117
0.112,-2.353,3117
0.116,-1.823,3117
0.120,-1.177,3117
0.124,-0.497,3113
0.128,0.230,3113
0.132,0.907,3113
0.136,1.492,3113
0.140,1.863,3113
0.144,2.018,3113
0.148,1.913,3113
0.152,1.577,3113
0.156,1.035,3113
0.160,-0.410,3120
0.164,-1.710,3120
0.168,-2.280,3120
0.172,-2.625,3120
0.176,-2.765,3120
0.180,-2.667,3120
0.184,-2.333,3120
0.188,-1.810,3120
0.192,-1.150,3120
0.196,-0.460,3123
0.200,0.292,3123
0.204,0.938,3123
0.208,1.532,3123
0.212,1.905,3123
0.216,2.060,3123
0.220,1.968,3123
0.224,1.587,3123
0.228,1.052,3123
0.232,0.417,3123
0.236,-0.273,3126
0.240,-1.810,3126
0.244,-2.283,3126
0.248,-2.627,3126
0.252,-2.768,3126
0.256,-2.663,3126
0.260,-2.333,3126
0.264,-1.810,3126
0.268,-1.147,3126
0.272,-0.458,3141
0.276,0.265,3141
0.280,0.943,3141
0.284,1.532,3141
0.288,1.913,3141
0.292,2.062,3141
0.296,1.972,3141
0.300,1.623,3141
0.304,1.077,3141
0.308,0.422,3141
0.312,-0.268,3122
0.316,-1.018,3122
0.320,-2.348,3122
0.324,-2.652,3122
0.328,-2.775,3122
0.332,-2.678,3122
0.336,-2.345,3122
0.340,-1.823,3122
0.344,-1.163,3122
0.348,-0.468,3149
0.352,0.263,3149
0.356,0.938,3149
0.360,1.508,3149
0.364,1.887,3149
0.368,2.047,3149
0.372,1.958,3149
0.376,1.620,3149
0.380,1.070,3149
0.384,0.427,3149
0.388,-0.253,3127
0.392,-1.000,3127
0.396,-1.677,3127
0.400,-2.650,3127
0.404,-2.748,3127
0.408,-2.658,3127
0.412,-2.333,3127
0.416,-1.810,3127
0.420,-1.150,3127
0.424,-0.458,3129
0.428,0.258,3129
0.432,0.930,3129
0.436,1.512,3129
0.440,1.893,3129
0.444,2.030,3129
0.448,1.938,3129
0.452,1.587,3129
0.456,1.052,3129
0.460,0.415,3129
0.464,-0.273,3127
0.468,-1.002,3127
0.472,-1.683,3127
0.476,-2.255,3127
0.480,-2.745,3127
0.484,-2.652,3127
0.488,-2.328,3127
0.492,-1.815,3127
0.496,-1.163,3127
0.500,-0.468,3147
0.504,0.253,3147
0.508,0.938,3147
0.512,1.532,3147
0.516,1.917,3147
0.520,2.078,3147
0.524,1.992,3147
0.528,1.653,3147
0.532,1.107,3147
0.536,0.463,3147
0.540,-0.405,3079
0.544,-1.683,3079
0.548,-2.260,3079
0.552,-2.625,3079
0.556,-2.772,3079
0.560,-2.290,3079
0.564,-1.847,3079
0.568,-1.188,3079
0.572,-0.502,3120
0.576,0.217,3120
0.580,0.897,3120
0.584,1.492,3120
0.588,1.900,3120
