Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,-0.304,-13966
0.001,-0.296,-13966
0.002,-0.286,-13940
0.003,-0.275,-13940
0.004,-0.263,-13940
0.005,-0.254,-13940
0.006,-0.244,-13940
0.007,-0.233,-13940
0.008,-0.228,-13940
0.009,-0.226,-13940
0.010,-0.231,-13940
0.011,-0.249,-13940
0.012,-0.266,-13948
0.013,-0.289,-13948
0.014,-0.312,-13948
0.015,-0.336,-13948
0.016,-0.355,-13948
0.017,-0.371,-13948
0.018,-0.381,-13948
0.019,-0.389,-13948
0.020,-0.381,-13948
0.021,-0.376,-13939
0.022,-0.362,-13939
0.023,-0.346,-13939
0.024,-0.336,-13939
0.025,-0.324,-13939
0.026,-0.310,-13939
0.027,-0.304,-13939
0.028,-0.301,-13939
0.029,-0.301,-13939
0.030,-0.304,-13939
0.031,-0.309,-13936
0.032,-0.311,-13936
0.033,-0.321,-13936
0.034,-0.311,-13936
0.035,-0.297,-13936
0.036,-0.275,-13936
0.037,-0.241,-13936
0.038,-0.188,-13936
0.039,-0.121,-13936
0.040,0.079,-13955
0.041,0.291,-13955
0.042,0.411,-13955
0.043,0.531,-13955
0.044,0.664,-13955
0.045,0.791,-13955
0.046,0.926,-13955
0.047,1.056,-13955
0.048,1.191,-13955
0.049,1.334,-13955
0.050,1.470,-13913
0.051,1.599,-13913
0.052,1.719,-13913
0.053,1.806,-13913
0.054,1.866,-13913
0.055,1.887,-13913
0.056,1.871,-13913
0.057,1.820,-13913
0.058,1.754,-13913
0.059,1.669,-13913
0.060,1.434,-13935
0.061,1.191,-13935
0.062,1.046,-13935
0.063,0.891,-13935
0.064,0.729,-13935
0.065,0.554,-13935
0.066,0.394,-13935
0.067,0.233,-13935
0.068,0.094,-13939
0.069,-0.046,-13939
0.070,-0.161,-13939
0.071,-0.256,-13939
0.072,-0.341,-13939
0.073,-0.414,-13939
0.074,-0.471,-13939
0.075,-0.524,-13939
0.076,-0.551,-13939
0.077,-0.585,-13939
0.078,-0.606,-13923
0.079,-0.614,-13923
0.080,-0.619,-13923
0.081,-0.619,-13923
0.082,-0.600,-13923
0.083,-0.611,-13923
0.084,-0.604,-13923
0.085,-0.604,-13923
0.086,-0.596,-13923
0.087,-0.591,-13913
0.088,-0.591,-13913
0.089,-0.591,-13913
0.090,-0.588,-13913
0.091,-0.576,-13913
0.092,-0.566,-13913
0.093,-0.555,-13913
0.094,-0.541,-13913
0.095,-0.516,-13913
0.096,-0.495,-13913
0.097,-0.466,-13943
0.098,-0.443,-13943
0.099,-0.414,-13943
0.100,-0.374,-13943
0.101,-0.369,-13943
0.102,-0.370,-13943
0.103,-0.371,-13943
0.104,-0.384,-13943
0.105,-0.394,-13943
0.106,-0.414,-13899
0.107,-0.429,-13899
0.108,-0.446,-13899
0.109,-0.454,-13899
0.110,-0.468,-13899
0.111,-0.472,-13899
0.112,-0.471,-13899
0.113,-0.469,-13899
0.114,-0.461,-13899
0.115,-0.448,-13899
0.116,-0.431,-13910
0.117,-0.421,-13910
0.118,-0.404,-13910
0.119,-0.389,-13910
0.120,-0.364,-13910
0.121,-0.362,-13910
0.122,-0.366,-13910
0.123,-0.369,-13910
0.124,-0.381,-13910
0.125,-0.401,-13879
0.126,-0.411,-13879
0.127,-0.426,-13879
0.128,-0.444,-13879
0.129,-0.451,-13879
0.130,-0.459,-13879
0.131,-0.461,-13879
0.132,-0.451,-13879
0.133,-0.444,-13879
0.134,-0.430,-13879
0.135,-0.416,-13878
0.136,-0.404,-13878
0.137,-0.385,-13878
0.138,-0.369,-13878
0.139,-0.356,-13878
0.140,-0.347,-13878
0.141,-0.346,-13878
0.142,-0.351,-13878
0.143,-0.361,-13878
0.144,-0.371,-13843
0.145,-0.389,-13843
0.146,-0.406,-13843
0.147,-0.422,-13843
0.148,-0.424,-13843
0.149,-0.426,-13843
0.150,-0.421,-13843
0.151,-0.405,-13843
0.152,-0.390,-13843
0.153,-0.374,-13843
0.154,-0.357,-13848
0.155,-0.346,-13848
0.156,-0.329,-13848
0.157,-0.314,-13848
0.158,-0.304,-13848
0.159,-0.296,-13848
0.160,-0.299,-13848
0.161,-0.309,-13848
0.162,-0.320,-13848
0.163,-0.334,-13841
0.164,-0.346,-13841
0.165,-0.359,-13841
0.166,-0.367,-13841
0.167,-0.376,-13841
0.168,-0.381,-13841
0.169,-0.386,-13841
0.170,-0.383,-13841
0.171,-0.375,-13841
0.172,-0.356,-13841
0.173,-0.343,-13833
0.174,-0.324,-13833
0.175,-0.304,-13833
0.176,-0.289,-13833
0.177,-0.281,-13833
0.178,-0.270,-13833
0.179,-0.266,-13833
0.180,-0.275,-13833
0.181,-0.286,-13833
0.182,-0.297,-13795
0.183,-0.306,-13795
0.184,-0.325,-13795
0.185,-0.334,-13795
0.186,-0.344,-13795
0.187,-0.349,-13795
0.188,-0.351,-13795
0.189,-0.349,-13795
0.190,-0.345,-13795
0.191,-0.331,-13795
0.192,-0.326,-13814
0.193,-0.306,-13814
0.194,-0.294,-13814
0.195,-0.287,-13814
0.196,-0.274,-13814
0.197,-0.275,-13814
0.198,-0.280,-13814
0.199,-0.284,-13814
0.200,-0.307,-13814
0.201,-0.314,-13823
0.202,-0.333,-13823
0.203,-0.346,-13823
0.204,-0.351,-13823
0.205,-0.354,-13823
0.206,-0.361,-13823
0.207,-0.351,-13823
0.208,-0.344,-13823
0.209,-0.330,-13823
0.210,-0.311,-13823
0.211,-0.290,-13811
0.212,-0.271,-13811
0.213,-0.251,-13811
0.214,-0.229,-13811
0.215,-0.214,-13811
0.216,-0.209,-13811
0.217,-0.209,-13811
0.218,-0.211,-13811
0.219,-0.219,-13811
0.220,-0.251,-13797
0.221,-0.266,-13797
0.222,-0.273,-13797
0.223,-0.276,-13797
0.224,-0.271,-13797
0.225,-0.275,-13797
0.226,-0.269,-13797
0.227,-0.256,-13797
0.228,-0.246,-13797
0.229,-0.226,-13780
0.230,-0.211,-13780
0.231,-0.194,-13780
0.232,-0.184,-13780
0.233,-0.171,-13780
0.234,-0.164,-13780
0.235,-0.152,-13780
0.236,-0.151,-13780
0.237,-0.151,-13780
0.238,-0.164,-13780
0.239,-0.176,-13784
0.240,-0.209,-13784
0.241,-0.214,-13784
0.242,-0.226,-13784
0.243,-0.229,-13784
0.244,-0.225,-13784
0.245,-0.216,-13784
0.246,-0.206,-13784
0.247,-0.191,-13784
0.248,-0.174,-13831
0.249,-0.161,-13831
0.250,-0.144,-13831
0.251,-0.131,-13831
0.252,-0.115,-13831
0.253,-0.106,-13831
0.254,-0.096,-13831
0.255,-0.094,-13831
0.256,-0.096,-13831
0.257,-0.104,-13831
0.258,-0.111,-13856
0.259,-0.124,-13856
0.260,-0.144,-13856
0.261,-0.149,-13856
0.262,-0.151,-13856
0.263,-0.151,-13856
0.264,-0.149,-13856
0.265,-0.141,-13856
0.266,-0.126,-13856
0.267,-0.106,-13886
0.268,-0.091,-13886
0.269,-0.069,-13886
0.270,-0.055,-13886
0.271,-0.044,-13886
0.272,-0.034,-13886
0.273,-0.029,-13886
0.274,-0.031,-13886
0.275,-0.036,-13886
0.276,-0.046,-13886
0.277,-0.064,-13886
0.278,-0.081,-13930
0.279,-0.096,-13930
0.280,-0.131,-13930
0.281,-0.146,-13930
0.282,-0.147,-13930
0.283,-0.144,-13930
0.284,-0.131,-13930
0.285,-0.116,-13930
0.286,-0.101,-13930
0.287,-0.083,-13969
0.288,-0.065,-13969
0.289,-0.046,-13969
0.290,-0.034,-13969
0.291,-0.025,-13969
0.292,-0.021,-13969
0.293,-0.021,-13969
0.294,-0.029,-13969
0.295,-0.033,-13969
0.296,-0.049,-13969
0.297,-0.061,-14022
0.298,-0.071,-14022
0.299,-0.086,-14022
0.300,-0.094,-14022
0.301,-0.081,-14022
0.302,-0.089,-14022
0.303,-0.081,-14022
0.304,-0.066,-14022
0.305,-0.052,-14022
0.306,-0.041,-14072
0.307,-0.026,-14072
0.308,-0.016,-14072
0.309,-0.010,-14072
0.310,-0.011,-14072
0.311,-0.013,-14072
0.312,-0.024,-14072
0.313,-0.041,-14072
0.314,-0.052,-14072
0.315,-0.081,-14072
0.316,-0.094,-14107
0.317,-0.115,-14107
0.318,-0.136,-14107
0.319,-0.161,-14107
0.320,-0.186,-14107
0.321,-0.184,-14107
0.322,-0.181,-14107
0.323,-0.174,-14107
0.324,-0.171,-14107
0.325,-0.164,-14092
0.326,-0.145,-14092
0.327,-0.142,-14092
0.328,-0.145,-14092
0.329,-0.151,-14092
0.330,-0.172,-14092
0.331,-0.204,-14092
0.332,-0.251,-14092
0.333,-0.251,-14133
0.334,-0.274,-14133
0.335,-0.294,-14133
0.336,-0.311,-14133
0.337,-0.330,-14133
0.338,-0.336,-14133
0.339,-0.336,-14133
0.340,-0.324,-14133
0.341,-0.294,-14137
0.342,-0.268,-14137
0.343,-0.265,-14137
0.344,-0.254,-14137
0.345,-0.258,-14137
0.346,-0.264,-14137
0.347,-0.276,-14137
0.348,-0.286,-14137
0.349,-0.304,-14137
0.350,-0.311,-14154
0.351,-0.323,-14154
0.352,-0.335,-14154
0.353,-0.346,-14154
0.354,-0.346,-14154
0.355,-0.346,-14154
0.356,-0.344,-14154
0.357,-0.341,-14154
0.358,-0.331,-14154
0.359,-0.314,-14154
0.360,-0.289,-14164
0.361,-0.270,-14164
0.362,-0.274,-14164
0.363,-0.271,-14164
0.364,-0.275,-14164
