Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,-0.021,3067
0.001,-0.064,3067
0.002,-0.094,3067
0.003,-0.121,3067
0.004,-0.149,3067
0.005,-0.171,3067
0.006,-0.184,3067
0.007,-0.189,3067
0.008,-0.181,3069
0.009,-0.166,3069
0.010,-0.142,3069
0.011,-0.115,3069
0.012,-0.090,3069
0.013,-0.068,3069
0.014,-0.049,3069
0.015,-0.041,3069
0.016,-0.035,3069
0.017,-0.045,3069
0.018,-0.061,3077
0.019,-0.089,3077
0.020,-0.171,3077
0.021,-0.209,3077
0.022,-0.254,3077
0.023,-0.284,3077
0.024,-0.309,3077
0.025,-0.326,3077
0.026,-0.328,3077
0.027,-0.306,3075
0.028,-0.286,3075
0.029,-0.261,3075
0.030,-0.228,3075
0.031,-0.196,3075
0.032,-0.169,3075
0.033,-0.138,3075
0.034,-0.124,3075
0.035,-0.111,3075
0.036,-0.114,3075
0.037,-0.126,3088
0.038,-0.146,3088
0.039,-0.175,3088
0.040,-0.266,3088
0.041,-0.301,3088
0.042,-0.281,3088
0.043,-0.362,3088
0.044,-0.383,3088
0.045,-0.386,3088
0.046,-0.384,3087
0.047,-0.366,3087
0.048,-0.334,3087
0.049,-0.301,3087
0.050,-0.264,3087
0.051,-0.228,3087
0.052,-0.196,3087
0.053,-0.171,3087
0.054,-0.151,3087
0.055,-0.146,3087
0.056,-0.149,3087
0.057,-0.166,3087
0.058,-0.185,3087
0.059,-0.216,3087
0.060,-0.296,3087
0.061,-0.341,3087
0.062,-0.354,3087
0.063,-0.374,3087
0.064,-0.381,3087
0.065,-0.384,3083
0.066,-0.367,3083
0.067,-0.344,3083
0.068,-0.306,3083
0.069,-0.271,3083
0.070,-0.231,3083
0.071,-0.195,3083
0.072,-0.169,3083
0.073,-0.145,3083
0.074,-0.101,3083
0.075,-0.141,3097
0.076,-0.164,3097
0.077,-0.184,3097
0.078,-0.210,3097
0.079,-0.246,3097
0.080,-0.305,3097
0.081,-0.330,3097
0.082,-0.346,3097
0.083,-0.350,3097
0.084,-0.347,3086
0.085,-0.336,3086
0.086,-0.310,3086
0.087,-0.284,3086
0.088,-0.249,3086
0.089,-0.209,3086
0.090,-0.174,3086
0.091,-0.135,3086
0.092,-0.109,3086
0.093,-0.096,3086
0.094,-0.091,3091
0.095,-0.105,3091
0.096,-0.129,3091
0.097,-0.164,3091
0.098,-0.196,3091
0.099,-0.231,3091
0.100,-0.306,3091
0.101,-0.331,3091
0.102,-0.352,3091
0.103,-0.364,3035
0.104,-0.341,3035
0.105,-0.325,3035
0.106,-0.302,3035
0.107,-0.289,3035
0.108,-0.273,3035
0.109,-0.264,3035
0.110,-0.254,3035
0.111,-0.249,3035
0.112,-0.253,3102
0.113,-0.266,3102
0.114,-0.286,3102
0.115,-0.309,3102
0.116,-0.334,3102
0.117,-0.351,3102
0.118,-0.356,3102
0.119,-0.346,3102
0.120,-0.251,3102
0.121,-0.186,3076
0.122,-0.091,3076
0.123,0.026,3076
