Czas_Wzgledny(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.544,0.522,3078
0.546,0.110,3078
0.548,-0.323,3078
0.550,-0.762,3078
0.552,-1.177,3078
0.554,-1.532,3078
0.556,-1.748,3078
0.558,-1.847,3078
0.560,-1.560,3129
0.562,-0.855,3129
0.564,-0.415,3129
0.566,0.022,3129
0.568,0.427,3129
0.570,0.745,3129
0.572,0.983,3129
0.574,1.070,3129
0.576,1.020,3135
0.578,0.820,3135
0.580,0.500,3135
0.582,0.098,3135
0.584,-0.305,3135
0.586,-0.743,3135
0.588,-1.160,3135
0.590,-1.508,3135
0.592,-1.732,3135
0.594,-1.830,3135
0.596,-1.780,3114
0.598,-1.570,3114
0.600,-0.777,3114
0.602,-0.352,3114
0.604,0.022,3114
0.606,0.468,3114
0.608,0.785,3114
0.610,1.018,3114
0.612,1.103,3114
0.614,1.052,3139
0.616,0.848,3139
0.618,0.532,3139
0.620,0.133,3139
0.622,-0.290,3139
0.624,-0.738,3139
0.626,-1.150,3139
0.628,-1.505,3139
0.630,-1.722,3139
0.632,-1.817,3139
0.634,-1.772,3136
0.636,-1.567,3136
0.638,-1.252,3136
0.640,-0.375,3136
0.642,-0.013,3136
0.644,0.417,3136
0.646,0.767,3136
0.648,0.993,3136
0.650,1.077,3136
0.652,1.028,3129
0.654,0.838,3129
0.656,0.517,3129
0.658,0.117,3129
0.660,-0.325,3129
0.662,-0.752,3129
0.664,-1.175,3129
0.666,-1.528,3129
0.668,-1.732,3129
0.670,-1.823,3129
0.672,-1.768,3138
0.674,-1.562,3138
0.676,-1.238,3138
0.678,-0.853,3138
0.680,0.087,3138
0.682,0.430,3138
0.684,0.777,3138
0.686,0.993,3138
0.688,1.077,3138
0.690,1.022,3093
0.692,0.820,3093
0.694,0.502,3093
0.696,0.102,3093
0.698,-0.333,3093
0.700,-0.767,3093
0.702,-1.183,3093
0.704,-1.538,3093
0.706,-1.772,3093
0.708,-1.857,3093
0.710,-1.808,3121
0.712,-1.617,3121
0.714,-1.300,3121
0.716,-0.902,3121
0.718,-0.482,3121
0.720,0.453,3121
0.722,0.990,3121
0.724,1.077,3121
0.726,1.038,3116
0.728,0.838,3116
0.730,0.537,3116
0.732,0.150,3116
0.734,-0.273,3116
0.736,-0.710,3116
0.738,-1.133,3116
0.740,-1.472,3116
0.742,-1.698,3116
0.744,-1.790,3116
0.746,-1.748,3137
0.748,-1.575,3137
0.750,-1.258,3137
0.752,-0.887,3137
0.754,-0.482,3137
0.756,-0.043,3137
0.758,0.393,3137
0.760,1.020,3137
0.762,1.103,3137
0.764,1.060,3124
0.766,0.875,3124
0.768,0.552,3124
0.770,0.175,3124
0.772,-0.253,3124
0.774,-0.710,3124
0.776,-1.107,3124
0.778,-1.472,3124
0.780,-1.708,3124
0.782,-1.820,3124
0.784,-1.792,3133
0.786,-1.607,3133
0.788,-1.308,3133
0.790,-0.925,3133
0.792,-0.505,3133
0.794,-0.083,3133
0.796,0.350,3133
0.798,0.718,3133
0.800,1.067,3133
0.802,1.028,3129
0.804,0.825,3129
0.806,0.537,3129
0.808,0.150,3129
0.810,-0.263,3129
0.812,-0.698,3129
0.814,-1.123,3129
0.816,-1.495,3129
0.818,-1.738,3129
0.820,-1.855,3129
0.822,-1.825,3136
0.824,-1.650,3136
0.826,-1.353,3136
0.828,-0.968,3136
0.830,-0.540,3136
0.832,-0.102,3136
0.834,0.318,3136
0.836,0.690,3136
0.838,0.930,3136
0.840,0.988,3111
0.842,0.500,3111
0.844,0.150,3111
0.846,-0.253,3111
0.848,-0.690,3111
0.850,-1.095,3111
0.852,-1.462,3111
0.854,-1.695,3111
0.856,-1.812,3111
0.858,-1.778,3111
0.860,-1.613,3146
0.862,-1.308,3146
0.864,-0.927,3146
0.866,-0.527,3146
0.868,-0.095,3146
0.870,0.312,3146
0.872,0.672,3146
0.874,0.910,3146
0.876,1.028,3146
0.878,0.995,3146
0.880,0.453,3106
0.882,-0.273,3106
0.884,-0.708,3106
0.886,-1.107,3106
0.888,-1.488,3106
0.890,-1.725,3106
0.892,-1.830,3106
0.894,-1.808,3106
0.896,-1.627,3110
0.898,-1.327,3110
0.900,-0.948,3110
0.902,-0.537,3110
0.904,-0.107,3110
0.906,0.307,3110
0.908,0.672,3110
0.910,0.915,3110
0.912,1.032,3110
0.914,1.005,3110
0.916,0.823,3111
0.918,0.515,3111
0.920,-0.362,3111
0.922,-0.710,3111
0.924,-1.133,3111
0.926,-1.492,3111
0.928,-1.730,3111
0.930,-1.840,3111
0.932,-1.808,3111
0.934,-1.627,3097
0.936,-1.323,3097
0.938,-0.932,3097
0.940,-0.522,3097
0.942,-0.092,3097
0.944,0.338,3097
0.946,0.690,3097
0.948,0.932,3097
0.950,1.038,3097
0.952,1.015,3097
0.954,0.848,3104
0.956,0.537,3104
0.958,0.155,3104
0.960,-0.762,3104
0.962,-1.103,3104
0.964,-1.500,3104
0.966,-1.712,3104
0.968,-1.823,3104
0.970,-1.808,3104
0.972,-1.635,3108
0.974,-1.333,3108
0.976,-0.938,3108
0.978,-0.547,3108
0.980,-0.113,3108
0.982,0.297,3108
0.984,0.662,3108
0.986,0.897,3108
