Czas_Wzgledny(s),EKG_Surowe(mV),PPG_Surowe(ADC)
1.304,1.525,3143
1.308,1.407,3143
1.312,1.100,3143
1.316,0.665,3143
1.320,0.145,3143
1.324,-1.062,3143
1.328,-1.522,3123
1.332,-1.962,3123
1.336,-2.212,3123
1.340,-2.297,3123
1.344,-2.178,3123
1.348,-1.885,3123
1.352,-1.455,3123
1.356,-0.925,3123
1.360,0.265,3123
1.364,0.728,3118
1.368,1.170,3118
1.372,1.433,3118
1.376,1.518,3118
1.380,1.397,3118
1.384,1.103,3118
1.388,0.662,3118
1.392,0.140,3118
1.396,-0.405,3118
1.400,-0.983,3118
1.404,-1.538,3138
1.408,-1.982,3138
1.412,-2.228,3138
1.416,-2.315,3138
1.420,-2.208,3138
1.424,-1.927,3138
1.428,-1.472,3138
1.432,-0.945,3138
1.436,-0.407,3138
1.440,0.787,3140
1.444,1.427,3140
1.448,1.528,3140
1.452,1.420,3140
1.456,1.133,3140
1.460,0.703,3140
1.464,0.190,3140
1.468,-0.350,3140
1.472,-0.910,3140
1.476,-1.460,3140
1.480,-1.897,3126
1.484,-2.167,3126
1.488,-2.250,3126
1.492,-2.138,3126
1.496,-1.857,3126
1.500,-1.442,3126
1.504,-0.907,3126
1.508,-0.383,3126
1.512,0.188,3126
1.516,0.720,3126
1.520,1.455,3136
1.524,1.393,3136
1.528,1.103,3136
1.532,0.672,3136
1.536,0.147,3136
1.540,-0.390,3136
1.544,-0.968,3136
1.548,-1.520,3136
1.552,-1.962,3099
1.556,-2.212,3099
1.560,-2.292,3099
1.564,-2.188,3099
1.568,-1.903,3099
1.572,-1.480,3099
1.576,-0.968,3099
1.580,-0.427,3099
1.584,0.138,3099
1.588,0.677,3099
1.592,1.113,3098
1.596,1.387,3098
1.600,1.340,3098
1.604,1.077,3098
1.608,0.652,3098
1.612,0.138,3098
1.616,-0.403,3098
1.620,-0.973,3098
1.624,-1.512,3098
1.628,-1.948,3093
1.632,-2.197,3093
1.636,-2.283,3093
1.640,-2.172,3093
1.644,-1.883,3093
1.648,-1.448,3093
1.652,-0.917,3093
1.656,-0.383,3093
1.660,0.193,3093
1.664,0.743,3093
1.668,1.188,3124
1.672,1.460,3124
1.676,1.538,3124
1.680,1.060,3124
1.684,0.655,3124
1.688,0.158,3124
1.692,-0.383,3124
1.696,-1.347,3124
1.700,-1.968,3112
1.704,-2.228,3112
1.708,-2.310,3112
1.712,-2.203,3112
1.716,-1.927,3112
1.720,-1.485,3112
1.724,-0.963,3112
1.728,-0.417,3112
1.732,0.155,3112
1.736,0.703,3112
1.740,1.143,3119
1.744,1.420,3119
1.748,1.500,3119
1.752,1.393,3119
1.756,1.093,3119
1.760,0.060,3119
1.764,-0.420,3119
1.768,-0.968,3119
1.772,-1.505,3119
1.776,-1.940,3113
1.780,-2.208,3113
1.784,-2.288,3113
1.788,-2.185,3113
1.792,-1.903,3113
1.796,-1.472,3113
1.800,-0.963,3113
1.804,-0.422,3113
1.808,0.147,3113
1.812,0.693,3113
1.816,1.143,3092
1.820,1.427,3092
1.824,1.518,3092
1.828,1.413,3092
1.832,1.115,3092
1.836,0.690,3092
1.840,-0.448,3092
1.844,-0.917,3092
1.848,-1.470,3092
1.852,-1.907,3116
1.856,-2.180,3116
1.860,-2.268,3116
1.864,-2.167,3116
1.868,-1.887,3116
1.872,-1.465,3116
1.876,-0.940,3116
1.880,-0.417,3116
1.884,0.142,3116
1.888,0.677,3116
1.892,1.117,3117
1.896,1.397,3117
1.900,1.488,3117
1.904,1.377,3117
1.908,1.077,3117
1.912,0.655,3117
1.916,0.128,3117
1.920,-1.097,3117
1.924,-1.555,3117
1.928,-1.948,3139
1.932,-2.203,3139
1.936,-2.270,3139
1.940,-2.163,3139
1.944,-1.863,3139
1.948,-1.440,3139
1.952,-0.910,3139
1.956,-0.383,3139
1.960,0.182,3139
1.964,0.718,3139
1.968,1.153,3114
1.972,1.423,3114
1.976,1.500,3114
1.980,1.387,3114
1.984,1.100,3114
1.988,0.662,3114
1.992,0.142,3114
1.996,-0.390,3114
2.000,-1.577,3114
2.004,-1.927,3127
2.008,-2.172,3127
2.012,-2.248,3127
2.016,-2.132,3127
2.020,-1.845,3127
2.024,-1.410,3127
2.028,-0.892,3127
2.032,-0.365,3127
2.036,0.188,3127
2.040,0.715,3127
2.044,1.150,3122
2.048,1.413,3122
2.052,1.498,3122
2.056,1.380,3122
2.060,1.077,3122
2.064,0.620,3122
2.068,0.128,3122
2.072,-0.407,3122
2.076,-0.978,3122
2.080,-2.020,3138
2.084,-2.300,3138
2.088,-2.192,3138
2.092,-1.900,3138
2.096,-1.468,3138
2.100,-0.667,3138
2.104,0.212,3138
2.108,0.703,3138
2.112,1.145,3121
2.116,1.502,3121
2.120,1.397,3121
2.124,1.113,3121
2.128,0.688,3121
2.132,0.180,3121
2.136,-0.375,3121
2.140,-0.943,3121
2.144,-1.492,3121
2.148,-1.923,3122
2.152,-2.188,3122
2.156,-2.283,3122
2.160,-1.823,3122
2.164,-1.458,3122
2.168,-0.938,3122
2.172,-0.407,3122
2.176,0.158,3122
2.180,0.703,3122
2.184,1.150,3130
2.188,1.410,3130
2.192,1.498,3130
2.196,1.395,3130
2.200,1.103,3130
2.204,0.682,3130
2.208,0.172,3130
2.212,-0.370,3130
2.216,-0.932,3130
2.220,-1.472,3130
2.224,-1.905,3120
2.228,-2.175,3120
2.232,-2.255,3120
2.236,-2.147,3120
2.240,-1.363,3120
2.244,-0.352,3120
2.248,0.172,3120
2.252,0.705,3120
2.256,1.143,3120
2.260,1.413,3120
2.264,1.498,3120
2.268,1.395,3120
2.272,1.095,3120
2.276,0.667,3120
2.280,0.170,3120
2.284,-0.370,3120
2.288,-0.922,3120
2.292,-1.462,3120
2.296,-1.893,3130
2.300,-2.167,3130
2.304,-2.250,3130
2.308,-2.143,3130
2.312,-1.853,3130
2.316,-1.417,3130
2.320,-0.280,3130
2.324,0.223,3130
2.328,0.738,3130
2.332,1.183,3093
2.336,1.433,3093
2.340,1.510,3093
2.344,1.405,3093
2.348,1.107,3093
2.352,0.682,3093
2.356,0.170,3093
2.360,-0.370,3093
2.364,-0.940,3093
2.368,-1.488,3093
2.372,-1.927,3134
2.376,-2.188,3134
2.380,-2.268,3134
2.384,-2.160,3134
2.388,-1.873,3134
2.392,-1.445,3134
2.396,-0.915,3134
2.400,0.268,3134
2.404,0.715,3134
2.408,1.150,3117
2.412,1.423,3117
2.416,1.508,3117
2.420,1.397,3117
2.424,1.100,3117
2.428,0.670,3117
2.432,0.152,3117
2.436,-0.412,3117
2.440,-0.948,3117
2.444,-1.492,3117
2.448,-1.935,3128
2.452,-2.192,3128
2.456,-2.283,3128
2.460,-2.080,3128
2.464,-1.875,3128
2.468,-1.448,3128
2.472,-0.927,3128
2.476,-0.390,3128
2.480,0.797,3128
2.484,1.183,3128
2.488,1.427,3119
2.492,1.515,3119
2.496,1.410,3119
2.500,1.087,3119
2.504,0.685,3119
2.508,0.177,3119
2.512,-0.370,3119
2.516,-0.932,3119
2.520,-1.470,3119
2.524,-1.907,3119
2.528,-2.178,3130
2.532,-2.263,3130
2.536,-2.152,3130
2.540,-1.867,3130
2.544,-1.442,3130
2.548,-0.930,3130
2.552,-0.398,3130
2.556,0.170,3130
2.560,1.195,3088
2.564,1.498,3088
2.568,1.383,3088
2.572,1.093,3088
2.576,0.667,3088
2.580,0.158,3088
2.584,-0.380,3088
2.588,-0.938,3088
2.592,-1.482,3088
2.596,-1.905,3088
2.600,-2.167,3103
2.604,-2.248,3103
2.608,-2.132,3103
2.612,-1.860,3103
2.616,-1.440,3103
2.620,-0.922,3103
2.624,-0.393,3103
2.628,0.170,3103
2.632,0.713,3103
2.636,1.150,3103
2.640,1.502,3122
2.644,1.097,3122
2.648,0.672,3122
2.652,0.158,3122
2.656,-0.378,3122
2.660,-0.932,3122
2.664,-1.472,3122
2.668,-1.903,3122
2.672,-2.167,3102
2.676,-2.248,3102
2.680,-2.138,3102
2.684,-1.855,3102
2.688,-1.423,3102
2.692,-0.910,3102
2.696,-0.380,3102
2.700,0.185,3102
2.704,0.718,3102
2.708,1.165,3102
2.712,1.425,3113
2.716,1.508,3113
2.720,1.050,3113
2.724,0.688,3113
2.728,0.182,3113
2.732,-0.360,3113
2.736,-0.922,3113
2.740,-1.470,3113
2.744,-1.897,3113
2.748,-2.163,3123
2.752,-2.228,3123
2.756,-2.132,3123
2.760,-1.847,3123
2.764,-1.405,3123
2.768,-0.890,3123
2.772,-0.367,3123
2.776,0.193,3123
2.780,0.728,3123
2.784,1.150,3123
2.788,1.417,3105
2.792,1.498,3105
2.796,1.383,3105
2.800,0.570,3105
2.804,0.105,3105
2.808,-0.410,3105
2.812,-0.973,3105
2.816,-1.522,3105
2.820,-1.972,3105
2.824,-2.197,3109
2.828,-2.283,3109
2.832,-2.152,3109
2.836,-1.865,3109
2.840,-1.420,3109
2.844,-0.270,3109
2.848,0.205,3109
2.852,0.748,3109
2.856,1.188,3109
2.860,1.455,3132
2.864,1.532,3132
2.868,1.413,3132
2.872,1.110,3132
2.876,0.688,3132
2.880,-0.468,3132
2.884,-0.940,3132
2.888,-1.498,3132
2.892,-1.938,3132
2.896,-2.188,3132
2.900,-2.263,3132
2.904,-2.143,3132
2.908,-1.847,3132
2.912,-1.387,3132
2.916,-0.890,3132
2.920,-0.362,3132
2.924,0.207,3132
2.928,0.738,3132
2.932,1.180,3132
2.936,1.438,3133
2.940,1.518,3133
2.944,1.407,3133
2.948,1.100,3133
2.952,0.667,3133
2.956,0.152,3133
2.960,-1.052,3133
2.964,-1.498,3133
2.968,-1.938,3133
2.972,-2.185,3136
2.976,-2.260,3136
2.980,-2.152,3136
2.984,-1.860,3136
2.988,-1.423,3136
2.992,-0.897,3136
2.996,-0.365,3136
3.000,0.207,3136
3.004,0.743,3136
3.008,1.188,3136
3.012,1.458,3133
3.016,1.538,3133
3.020,1.423,3133
3.024,1.117,3133
3.028,0.688,3133
3.032,0.155,3133
3.036,-0.380,3133
3.040,-1.603,3133
3.044,-1.962,3133
3.048,-2.212,3154
3.052,-2.292,3154
3.056,-2.167,3154
3.060,-1.867,3154
3.064,-1.430,3154
3.068,-0.907,3154
3.072,-0.362,3154
3.076,0.195,3154
3.080,0.743,3154
3.084,1.183,3154
3.088,1.455,3137
3.092,1.538,3137
3.096,1.430,3137
3.100,1.137,3137
3.104,0.698,3137
3.108,0.188,3137
3.112,-0.352,3137
3.116,-0.927,3137
3.120,-2.027,3137
3.124,-2.212,3129
3.128,-2.138,3129
3.132,-1.850,3129
3.136,-1.407,3129
3.140,-0.887,3129
3.144,-0.347,3129
3.148,0.220,3129
3.152,0.757,3129
3.156,1.188,3129
3.160,1.462,3143
3.164,1.530,3143
3.168,1.415,3143
3.172,1.107,3143
3.176,0.667,3143
3.180,0.152,3143
3.184,-0.385,3143
3.188,-0.968,3143
3.192,-1.502,3143
3.196,-1.938,3143
3.200,-2.255,3138
3.204,-1.853,3138
3.208,-1.415,3138
3.212,-0.905,3138
3.216,-0.372,3138
3.220,0.193,3138
3.224,0.733,3138
3.228,1.173,3138
3.232,1.430,3133
3.236,1.502,3133
3.240,1.353,3133
3.244,1.087,3133
3.248,0.637,3133
3.252,0.128,3133
3.256,-0.417,3133
3.260,-1.133,3133
3.264,-1.532,3133
3.268,-1.952,3133
3.272,-2.192,3136
3.276,-2.283,3136
3.280,-1.812,3136
3.284,-1.448,3136
3.288,-0.912,3136
3.292,-0.378,3136
3.296,0.188,3136
3.300,0.730,3136
3.304,1.175,3136
3.308,1.438,3130
3.312,1.518,3130
3.316,1.417,3130
3.320,1.117,3130
3.324,0.688,3130
3.328,0.152,3130
3.332,-0.378,3130
3.336,-0.963,3130
3.340,-1.508,3130
3.344,-1.942,3130
3.348,-2.192,3119
3.352,-2.272,3119
3.356,-2.167,3119
3.360,-1.347,3119
3.364,-0.905,3119
3.368,-0.370,3119
3.372,0.198,3119
3.376,0.748,3119
3.380,1.188,3119
3.384,1.458,3124
3.388,1.532,3124
3.392,1.417,3124
3.396,1.107,3124
3.400,0.672,3124
3.404,0.172,3124
3.408,-0.378,3124
3.412,-0.938,3124
3.416,-1.488,3124
3.420,-1.907,3124
3.424,-2.172,3115
3.428,-2.263,3115
3.432,-2.147,3115
3.436,-1.863,3115
3.440,-0.823,3115
3.444,-0.378,3115
3.448,0.188,3115
3.452,0.720,3115
3.456,1.163,3115
3.460,1.433,3126
3.464,1.510,3126
3.468,1.397,3126
3.472,1.097,3126
3.476,0.672,3126
3.480,0.158,3126
3.484,-0.375,3126
3.488,-0.932,3126
3.492,-1.472,3126
3.496,-1.897,3126
3.500,-2.150,3126
3.504,-2.223,3113
3.508,-2.112,3113
3.512,-1.820,3113
3.516,-1.385,3113
3.520,-0.258,3113
3.524,0.207,3113
3.528,0.745,3113
3.532,1.180,3113
3.536,1.438,3113
3.540,1.510,3125
3.544,1.397,3125
3.548,1.103,3125
3.552,0.677,3125
3.556,0.170,3125
3.560,-0.383,3125
3.564,-0.943,3125
3.568,-1.498,3125
3.572,-1.933,3125
3.576,-2.185,3125
3.580,-2.263,3110
3.584,-2.150,3110
3.588,-1.812,3110
3.592,-1.417,3110
3.596,-0.905,3110
3.600,0.278,3110
3.604,0.735,3110
3.608,1.357,3110
3.612,1.515,3119
3.616,1.413,3119
3.620,1.113,3119
3.624,0.688,3119
3.628,0.177,3119
3.632,-0.507,3119
3.636,-0.973,3119
3.640,-1.482,3119
3.644,-1.945,3119
3.648,-2.172,3119
3.652,-2.250,3135
3.656,-2.125,3135
3.660,-1.840,3135
3.664,-1.403,3135
3.668,-0.887,3135
3.672,-0.347,3135
3.676,0.217,3135
3.680,1.250,3135
3.684,1.458,3135
3.688,1.528,3118
3.692,1.407,3118
3.696,1.110,3118
3.700,0.677,3118
3.704,0.170,3118
3.708,-0.372,3118
3.712,-0.932,3118
3.716,-1.472,3118
3.720,-1.897,3118
3.724,-2.152,3118
3.728,-2.230,3108
3.732,-2.132,3108
3.736,-1.843,3108
3.740,-1.407,3108
3.744,-0.892,3108
3.748,-0.372,3108
3.752,0.193,3108
3.756,0.730,3108
3.760,1.458,3126
3.764,1.387,3126
3.768,1.090,3126
3.772,0.652,3126
3.776,0.138,3126
3.780,-0.412,3126
3.784,-0.983,3126
3.788,-1.528,3126
3.792,-1.962,3126
3.796,-2.203,3126
3.800,-2.283,3119
3.804,-2.150,3119
3.808,-1.865,3119
3.812,-1.427,3119
3.816,-0.912,3119
3.820,-0.378,3119
3.824,0.190,3119
3.828,0.733,3119
3.832,1.163,3119
3.836,1.427,3119
3.840,1.355,3114
3.844,0.657,3114
3.848,0.138,3114
3.852,-0.492,3114
3.856,-0.963,3114
3.860,-1.545,3114
3.864,-1.930,3114
3.868,-2.178,3114
3.872,-2.255,3119
3.876,-2.103,3119
3.880,-1.845,3119
3.884,-1.383,3119
3.888,-0.858,3119
3.892,-0.350,3119
3.896,0.253,3119
3.900,0.755,3119
3.904,1.198,3119
3.908,1.470,3119
3.912,1.512,3123
3.916,1.387,3123
3.920,0.453,3123
3.924,-0.463,3123
3.928,-0.988,3123
3.932,-1.540,3123
3.936,-1.972,3123
3.940,-2.223,3123
3.944,-2.312,3106
3.948,-2.183,3106
3.952,-1.890,3106
3.956,-1.455,3106
3.960,-0.917,3106
3.964,-0.372,3106
3.968,0.198,3106
3.972,0.718,3106
3.976,1.167,3106
3.980,1.433,3106
3.984,1.512,3133
3.988,1.048,3133
3.992,0.677,3133
3.996,0.152,3133
4.000,-1.055,3133
4.004,-1.520,3133
4.008,-1.948,3133
4.012,-2.203,3133
4.016,-2.272,3127
4.020,-1.812,3127
4.024,-1.442,3127
4.028,-0.912,3127
4.032,-0.378,3127
4.036,0.182,3127
4.040,0.733,3127
4.044,1.170,3127
4.048,1.427,3127
4.052,1.508,3137
4.056,1.387,3137
4.060,1.093,3137
4.064,0.652,3137
4.068,0.133,3137
4.072,-0.412,3137
4.076,-0.983,3137
4.080,-2.018,3137
4.084,-2.208,3137
4.088,-2.288,3126
4.092,-2.163,3126
4.096,-1.873,3126
4.100,-1.448,3126
4.104,-0.925,3126
4.108,-0.393,3126
4.112,0.177,3126
4.116,0.713,3126
4.120,1.147,3126
4.124,1.410,3126
4.128,1.488,3131
4.132,1.370,3131
4.136,1.070,3131
4.140,0.632,3131
4.144,0.128,3131
4.148,-0.412,3131
4.152,-0.978,3131
4.156,-1.522,3131
4.160,-2.243,3131
4.164,-2.257,3152
4.168,-2.140,3152
4.172,-1.855,3152
4.176,-1.413,3152
4.180,-0.890,3152
4.184,-0.345,3152
4.188,0.273,3152
4.192,0.757,3152
4.196,1.208,3152
4.200,1.472,3152
4.204,1.555,3120
4.208,1.417,3120
4.212,1.005,3120
4.216,0.613,3120
4.220,0.130,3120
4.224,-0.380,3120
4.228,-0.963,3120
4.232,-1.502,3120
4.236,-1.950,3120
4.240,-2.288,3132
4.244,-1.885,3132
4.248,-1.455,3132
4.252,-0.925,3132
4.256,-0.372,3132
4.260,0.217,3132
4.264,0.755,3132
4.268,1.208,3132
4.272,1.478,3132
4.276,1.548,3121
4.280,1.427,3121
4.284,1.117,3121
4.288,0.688,3121
4.292,0.172,3121
4.296,-0.380,3121
4.300,-0.970,3121
4.304,-1.502,3121
4.308,-1.942,3121
4.312,-2.190,3121
4.316,-2.283,3111
4.320,-1.820,3111
4.324,-1.452,3111
4.328,-0.922,3111
4.332,-0.383,3111
4.336,0.190,3111
4.340,0.752,3111
4.344,1.157,3111
4.348,1.427,3111
4.352,1.512,3129
4.356,1.387,3129
4.360,1.093,3129
4.364,0.460,3129
4.368,-0.393,3129
4.372,-0.970,3129
4.376,-1.502,3129
4.380,-1.940,3129
4.384,-2.183,3129
4.388,-2.260,3126
4.392,-2.143,3126
4.396,-1.853,3126
4.400,-0.807,3126
4.404,-0.347,3126
4.408,0.228,3126
4.412,0.775,3126
4.416,1.212,3126
4.420,1.478,3126
4.424,1.550,3130
4.428,1.417,3130
4.432,1.107,3130
4.436,0.662,3130
4.440,0.142,3130
4.444,-0.438,3130
4.448,-0.978,3130
4.452,-1.522,3130
4.456,-1.952,3130
4.460,-2.195,3130
4.464,-2.280,3114
4.468,-2.163,3114
4.472,-1.865,3114
4.476,-1.420,3114
4.480,-0.263,3114
4.484,0.335,3114
4.488,0.770,3114
4.492,1.208,3114
4.496,1.478,3114
4.500,1.450,3114
4.504,1.020,3114
4.508,0.613,3114
4.512,0.098,3114
4.516,-0.445,3114
4.520,-1.008,3114
4.524,-1.538,3114
4.528,-1.962,3114
4.532,-2.188,3114
4.536,-2.257,3114
4.540,-2.138,3117
4.544,-1.827,3117
4.548,-1.403,3117
4.552,-0.887,3117
4.556,-0.360,3117
4.560,0.833,3117
4.564,1.192,3117
4.568,1.452,3117
4.572,1.525,3117
4.576,1.413,3111
4.580,1.097,3111
4.584,0.660,3111
4.588,0.133,3111
4.592,-0.407,3111
4.596,-0.983,3111
4.600,-1.528,3111
4.604,-1.962,3111
4.608,-2.188,3111
4.612,-2.268,3111
4.616,-2.135,3121
4.620,-1.825,3121
4.624,-1.387,3121
4.628,-0.870,3121
4.632,-0.340,3121
4.636,0.223,3121
4.640,1.230,3121
4.644,1.433,3121
4.648,1.502,3121
4.652,1.375,3108
4.656,1.058,3108
4.660,0.613,3108
4.664,0.107,3108
4.668,-0.443,3108
4.672,-1.008,3108
4.676,-1.545,3108
4.680,-1.972,3108
4.684,-2.212,3108
4.688,-2.283,3108
4.692,-2.147,3117
4.696,-1.853,3117
4.700,-1.407,3117
4.704,-0.887,3117
4.708,-0.343,3117
4.712,0.228,3117
4.716,0.752,3117
4.720,1.458,3117
4.724,1.357,3110
4.728,1.052,3110
4.732,0.618,3110
4.736,0.102,3110
4.740,-0.443,3110
4.744,-1.627,3110
4.748,-1.972,3110
4.752,-2.210,3110
4.756,-2.272,3110
4.760,-2.152,3119
4.764,-1.853,3119
4.768,-1.410,3119
4.772,-0.887,3119
4.776,-0.345,3119
4.780,0.223,3119
4.784,0.767,3119
4.788,1.195,3119
4.792,1.460,3119
4.796,1.538,3119
4.800,1.050,3112
4.804,0.142,3112
4.808,-0.410,3112
4.812,-0.980,3112
4.816,-1.525,3112
