Czas_Wzgledny(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,-2.220,3104
0.004,-1.732,3104
0.008,-1.308,3104
0.012,-0.800,3104
0.016,-0.258,3104
0.020,0.302,3104
0.024,0.828,3104
0.028,1.232,3104
0.032,0.410,3133
0.036,1.433,3133
0.040,1.522,3133
0.044,0.593,3133
0.048,0.223,3133
0.052,-0.728,3140
0.056,-1.423,3140
0.060,-1.863,3140
0.064,-2.132,3140
0.068,-2.217,3140
0.072,-2.132,3140
0.076,-1.860,3140
0.080,-0.845,3140
0.084,-0.393,3140
0.088,0.158,3115
0.092,0.718,3115
0.096,1.150,3115
0.100,1.427,3115
0.104,1.518,3115
0.108,1.420,3115
0.112,1.135,3115
0.116,0.705,3115
0.120,0.195,3115
0.124,-0.352,3115
0.128,-0.912,3146
0.132,-1.488,3146
0.136,-1.927,3146
0.140,-2.188,3146
0.144,-2.283,3146
0.148,-2.167,3146
0.152,-1.893,3146
0.156,-1.472,3146
0.160,-0.302,3146
0.164,0.177,3125
0.168,0.745,3125
0.172,1.157,3125
0.176,1.433,3125
0.180,1.528,3125
0.184,1.423,3125
0.188,1.137,3125
0.192,0.703,3125
0.196,0.193,3125
0.200,-0.347,3125
0.204,-0.907,3120
0.208,-1.472,3120
0.212,-1.897,3120
0.216,-2.165,3120
0.220,-2.250,3120
0.224,-2.147,3120
0.228,-1.863,3120
0.232,-1.448,3120
0.236,-0.922,3120
0.240,0.253,3086
0.244,1.157,3086
0.248,1.417,3086
0.252,1.510,3086
0.256,1.420,3086
0.260,1.140,3086
0.264,0.708,3086
0.268,0.198,3086
0.272,-0.338,3086
0.276,-0.897,3102
0.280,-1.468,3102
0.284,-1.897,3102
0.288,-2.167,3102
0.292,-2.250,3102
0.296,-2.147,3102
0.300,-1.860,3102
0.304,-1.440,3102
0.308,-0.915,3102
0.312,-0.383,3102
0.316,0.180,3105
0.320,1.222,3105
0.324,1.433,3105
0.328,1.535,3105
0.332,1.430,3105
0.336,1.150,3105
0.340,0.718,3105
0.344,0.210,3105
0.348,-0.333,3105
0.352,-0.902,3124
0.356,-1.468,3124
0.360,-1.900,3124
0.364,-2.172,3124
0.368,-2.260,3124
0.372,-2.163,3124
0.376,-1.883,3124
0.380,-1.458,3124
0.384,-0.938,3124
0.388,-0.393,3124
0.392,0.158,3117
0.396,0.718,3117
0.400,1.468,3117
0.404,1.535,3117
0.408,1.433,3117
0.412,1.147,3117
0.416,0.720,3117
0.420,0.223,3117
0.424,-0.305,3117
0.428,-0.887,3114
0.432,-1.452,3114
0.436,-1.877,3114
0.440,-2.143,3114
0.444,-2.250,3114
0.448,-2.152,3114
0.452,-1.883,3114
0.456,-1.458,3114
0.460,-0.943,3114
0.464,-0.412,3114
0.468,0.147,3114
0.472,0.693,3117
0.476,1.140,3117
0.480,1.492,3117
0.484,1.390,3117
0.488,1.028,3117
0.492,0.682,3117
0.496,0.172,3117
0.500,-0.367,3117
0.504,-0.930,3117
0.508,-1.482,3137
0.512,-1.927,3137
0.516,-2.178,3137
0.520,-2.257,3137
0.524,-2.143,3137
0.528,-1.855,3137
0.532,-1.383,3137
0.536,-0.905,3137
0.540,-0.372,3137
0.544,0.177,3137
0.548,0.713,3125
0.552,1.167,3125
0.556,1.508,3125
0.560,1.087,3125
0.564,0.728,3125
0.568,0.217,3125
0.572,-0.347,3125
0.576,-0.910,3125
0.580,-1.462,3115
0.584,-1.907,3115
0.588,-2.167,3115
0.592,-2.243,3115
0.596,-2.138,3115
0.600,-1.870,3115
0.604,-1.448,3115
0.608,-0.930,3115
0.612,-0.393,3115
0.616,0.152,3115
0.620,0.693,3104
0.624,1.143,3104
0.628,1.417,3104
0.632,1.508,3104
0.636,1.407,3104
0.640,0.610,3104
0.644,0.182,3104
0.648,-0.362,3104
0.652,-0.917,3104
0.656,-1.468,3114
0.660,-1.927,3114
0.664,-2.172,3114
0.668,-2.252,3114
0.672,-2.145,3114
0.676,-1.863,3114
0.680,-1.442,3114
0.684,-0.912,3114
0.688,-0.383,3114
0.692,0.177,3114
0.696,0.708,3102
0.700,1.153,3102
0.704,1.420,3102
0.708,1.508,3102
0.712,1.397,3102
0.716,1.107,3102
0.720,0.075,3102
0.724,-0.978,3102
0.728,-1.485,3096
0.732,-1.925,3096
0.736,-2.175,3096
0.740,-2.260,3096
0.744,-2.152,3096
0.748,-1.863,3096
0.752,-1.448,3096
0.756,-0.912,3096
0.760,-0.383,3096
0.764,0.237,3096
0.768,0.738,3118
0.772,1.185,3118
0.776,1.458,3118
0.780,1.542,3118
0.784,1.433,3118
0.788,1.137,3118
0.792,0.693,3118
0.796,0.177,3118
0.800,-1.048,3118
0.804,-1.498,3102
0.808,-1.942,3102
0.812,-2.188,3102
0.816,-2.268,3102
0.820,-2.150,3102
0.824,-1.857,3102
0.828,-1.423,3102
0.832,-0.892,3102
0.836,-0.352,3102
0.840,0.220,3102
0.844,0.757,3119
0.848,1.215,3119
0.852,1.492,3119
0.856,1.575,3119
0.860,1.468,3119
0.864,1.163,3119
0.868,0.710,3119
0.872,0.188,3119
0.876,-0.378,3119
0.880,-1.603,3111
0.884,-2.223,3111
0.888,-2.303,3111
0.892,-2.195,3111
0.896,-1.903,3111
0.900,-1.462,3111
0.904,-0.932,3111
0.908,-0.388,3111
0.912,0.223,3111
0.916,0.738,3121
0.920,1.198,3121
0.924,1.475,3121
0.928,1.577,3121
0.932,1.302,3121
0.936,0.670,3121
0.940,0.188,3121
0.944,-0.372,3121
0.948,-0.945,3121
0.952,-1.508,3116
0.956,-1.968,3116
0.960,-2.312,3116
0.964,-2.210,3116
0.968,-1.923,3116
0.972,-1.485,3116
0.976,-0.943,3116
0.980,-0.388,3116
0.984,0.193,3116
0.988,0.748,3123
0.992,1.218,3123
0.996,1.492,3123
1.000,1.577,3123
1.004,1.462,3123
1.008,1.157,3123
1.012,0.708,3123
1.016,0.175,3123
1.020,-0.390,3123
1.024,-0.983,3123
1.028,-1.540,3148
1.032,-1.992,3148
1.036,-2.248,3148
1.040,-2.167,3148
1.044,-1.873,3148
1.048,-1.465,3148
1.052,-0.927,3148
1.056,-0.380,3148
1.060,0.193,3148
1.064,0.738,3138
1.068,1.188,3138
1.072,1.468,3138
1.076,1.545,3138
1.080,1.435,3138
1.084,1.137,3138
1.088,0.693,3138
1.092,0.175,3138
1.096,-0.378,3138
1.100,-0.945,3138
1.104,-1.502,3136
1.108,-1.948,3136
1.112,-2.208,3136
1.116,-2.290,3136
1.120,-1.833,3136
1.124,-1.460,3136
1.128,-0.925,3136
1.132,-0.378,3136
1.136,0.198,3136
1.140,0.743,3141
1.144,1.192,3141
1.148,1.458,3141
1.152,1.542,3141
1.156,1.427,3141
1.160,1.117,3141
1.164,0.675,3141
1.168,0.152,3141
1.172,-0.393,3141
1.176,-0.978,3141
1.180,-1.528,3124
1.184,-1.978,3124
1.188,-2.223,3124
1.192,-2.308,3124
1.196,-2.188,3124
1.200,-1.373,3124
1.204,-0.897,3124
1.208,-0.385,3124
1.212,0.195,3124
1.216,0.748,3146
1.220,1.210,3146
1.224,1.488,3146
1.228,1.560,3146
1.232,1.470,3146
1.236,1.153,3146
1.240,0.708,3146
1.244,0.182,3146
1.248,-0.378,3146
1.252,-0.963,3146
1.256,-1.512,3127
1.260,-1.978,3127
1.264,-2.223,3127
1.268,-2.308,3127
1.272,-2.203,3127
1.276,-1.907,3127
1.280,-0.855,3127
1.284,-0.357,3127
1.288,0.188,3127
1.292,0.735,3143
1.296,1.190,3143
1.300,1.450,3143
