Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,-0.229,3111
0.001,-0.194,3111
0.002,-0.164,3107
0.003,-0.134,3107
0.004,-0.121,3107
0.005,-0.116,3107
0.006,-0.128,3107
0.007,-0.161,3107
0.008,-0.191,3107
0.009,-0.229,3107
0.010,-0.270,3107
0.011,-0.306,3107
0.012,-0.334,3107
0.013,-0.354,3107
0.014,-0.357,3107
0.015,-0.356,3107
0.016,-0.346,3107
0.017,-0.329,3107
0.018,-0.299,3107
0.019,-0.266,3107
0.020,-0.189,3107
0.021,-0.166,3120
0.022,-0.136,3120
0.023,-0.126,3120
0.024,-0.124,3120
0.025,-0.131,3120
0.026,-0.151,3120
0.027,-0.184,3120
0.028,-0.216,3120
0.029,-0.255,3120
0.030,-0.289,3120
0.031,-0.323,3120
0.032,-0.344,3124
0.033,-0.354,3124
0.034,-0.355,3124
0.035,-0.345,3124
0.036,-0.326,3124
0.037,-0.292,3124
0.038,-0.254,3124
0.039,-0.212,3124
0.040,-0.139,3094
0.041,-0.121,3094
0.042,-0.120,3094
0.043,-0.129,3094
0.044,-0.146,3094
0.045,-0.181,3094
0.046,-0.209,3094
0.047,-0.246,3094
0.048,-0.281,3094
0.049,-0.309,3094
0.050,-0.331,3095
0.051,-0.356,3095
0.052,-0.347,3095
0.053,-0.344,3095
0.054,-0.329,3095
0.055,-0.296,3095
0.056,-0.266,3095
0.057,-0.230,3095
0.058,-0.201,3095
0.059,-0.171,3095
0.060,-0.131,3102
0.061,-0.135,3102
0.062,-0.161,3102
0.063,-0.186,3102
0.064,-0.217,3102
0.065,-0.256,3102
0.066,-0.287,3102
0.067,-0.311,3102
0.068,-0.333,3089
0.069,-0.346,3089
0.070,-0.349,3089
0.071,-0.336,3089
0.072,-0.311,3089
0.073,-0.276,3089
0.074,-0.230,3089
0.075,-0.193,3089
0.076,-0.149,3089
0.077,-0.116,3089
0.078,-0.094,3094
0.079,-0.081,3094
0.080,-0.124,3094
0.081,-0.120,3094
0.082,-0.145,3094
0.083,-0.181,3094
0.084,-0.225,3094
0.085,-0.266,3094
0.086,-0.297,3094
0.087,-0.329,3121
0.088,-0.344,3121
0.089,-0.349,3121
0.090,-0.344,3121
0.091,-0.326,3121
0.092,-0.294,3121
0.093,-0.264,3121
0.094,-0.229,3121
0.095,-0.193,3121
0.096,-0.169,3121
0.097,-0.142,3102
0.098,-0.131,3102
0.099,-0.131,3102
0.100,-0.161,3102
0.101,-0.181,3102
0.102,-0.210,3102
0.103,-0.245,3102
0.104,-0.276,3102
0.105,-0.301,3102
0.106,-0.324,3100
0.107,-0.334,3100
0.108,-0.336,3100
0.109,-0.329,3100
0.110,-0.309,3100
0.111,-0.289,3100
0.112,-0.261,3100
0.113,-0.226,3100
0.114,-0.194,3100
0.115,-0.171,3100
0.116,-0.146,3120
0.117,-0.135,3120
0.118,-0.131,3120
0.119,-0.135,3120
0.120,-0.181,3120
0.121,-0.206,3120
0.122,-0.233,3120
0.123,-0.263,3120
0.124,-0.284,3120
0.125,-0.301,3111
0.126,-0.311,3111
0.127,-0.311,3111
0.128,-0.309,3111
0.129,-0.290,3111
0.130,-0.265,3111
0.131,-0.231,3111
0.132,-0.194,3111
0.133,-0.164,3111
0.134,-0.131,3111
0.135,-0.111,3109
0.136,-0.101,3109
0.137,-0.104,3109
0.138,-0.111,3109
0.139,-0.130,3109
0.140,-0.191,3109
0.141,-0.229,3109
0.142,-0.265,3109
0.143,-0.349,3109
