Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,-0.873,3129
0.001,-0.463,3129
0.002,0.140,3129
0.003,0.527,3129
0.004,0.943,3129
0.005,1.222,3120
0.006,1.343,3120
0.007,1.300,3120
0.008,1.060,3120
0.009,0.705,3120
0.010,0.253,3120
0.011,-0.242,3120
0.012,-0.750,3120
0.013,-1.252,3120
0.014,-1.690,3120
0.015,-1.968,3083
0.016,-2.098,3083
0.017,-2.047,3083
0.018,-1.823,3083
0.019,-1.462,3083
0.020,-0.432,3083
0.021,-0.022,3083
0.022,0.472,3083
0.023,0.907,3083
0.024,1.190,3083
0.025,1.317,3120
0.026,1.262,3120
0.027,1.050,3120
0.028,0.698,3120
0.029,0.253,3120
0.030,-0.228,3120
0.031,-0.748,3120
0.032,-1.238,3120
0.033,-1.667,3120
0.034,-1.952,3120
0.035,-2.085,3130
0.036,-2.035,3130
0.037,-1.823,3130
0.038,-1.472,3130
0.039,-1.018,3130
0.040,0.062,3130
0.041,0.502,3130
0.042,0.907,3130
0.043,1.185,3130
0.044,1.330,3107
0.045,1.272,3107
0.046,1.062,3107
0.047,0.703,3107
0.048,0.247,3107
0.049,-0.250,3107
0.050,-0.752,3107
0.051,-1.258,3107
0.052,-1.690,3107
0.053,-1.978,3107
0.054,-2.090,3120
0.055,-2.042,3120
0.056,-1.823,3120
0.057,-1.468,3120
0.058,-1.012,3120
0.059,-0.530,3120
0.060,0.557,3120
0.061,0.912,3120
0.062,1.195,3120
0.063,1.327,3115
0.064,1.258,3115
0.065,1.050,3115
0.066,0.688,3115
0.067,0.233,3115
0.068,-0.255,3115
0.069,-0.752,3115
0.070,-1.232,3115
0.071,-1.663,3115
0.072,-1.948,3115
0.073,-2.058,3101
0.074,-2.025,3101
0.075,-1.815,3101
0.076,-1.468,3101
0.077,-1.018,3101
0.078,-0.522,3101
0.079,-0.018,3101
0.080,0.980,3101
0.081,1.212,3106
0.082,1.310,3106
0.083,1.097,3106
0.084,0.738,3106
0.085,0.287,3106
0.086,-0.207,3106
0.087,-0.710,3106
0.088,-1.210,3106
0.089,-1.647,3106
0.090,-1.942,3106
0.091,-2.062,3119
0.092,-2.030,3119
0.093,-1.812,3119
0.094,-1.472,3119
0.095,-1.028,3119
0.096,-0.547,3119
0.097,-0.058,3119
0.098,0.432,3119
0.099,0.865,3119
0.100,1.323,3109
0.101,1.070,3109
0.102,0.720,3109
0.103,0.287,3109
0.104,-0.203,3109
0.105,-0.708,3109
0.106,-1.190,3109
0.107,-1.630,3109
0.108,-1.933,3109
0.109,-2.055,3117
0.110,-2.033,3117
0.111,-1.843,3117
0.112,-1.492,3117
0.113,-1.042,3117
0.114,-0.562,3117
0.115,-0.058,3117
0.116,0.458,3117
0.117,0.890,3117
0.118,1.180,3117
0.119,1.333,3114
0.120,1.022,3114
0.121,0.733,3114
0.122,0.278,3114
0.123,-0.205,3114
0.124,-0.713,3114
0.125,-1.212,3114
0.126,-1.653,3114
0.127,-1.948,3114
0.128,-2.092,3132
0.129,-2.053,3132
0.130,-1.857,3132
0.131,-1.522,3132
0.132,-1.070,3132
0.133,-0.585,3132
0.134,-0.087,3132
0.135,0.420,3132
0.136,0.863,3132
0.137,1.173,3132
0.138,1.317,3134
0.139,1.295,3134
0.140,0.672,3134
0.141,0.292,3134
0.142,-0.185,3134
0.143,-0.698,3134
0.144,-1.208,3134
