Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,1.688,3115
0.004,1.147,3110
0.008,0.107,3110
0.012,-0.480,3110
0.016,-1.093,3110
0.020,-1.683,3110
0.024,-2.127,3110
0.028,-2.373,3110
0.032,-2.428,3110
0.036,-2.280,3110
0.040,-1.935,3099
0.044,-1.427,3099
0.048,-0.863,3099
0.052,-0.263,3099
0.056,0.372,3099
0.060,0.943,3099
0.064,1.397,3099
0.068,1.655,3099
0.072,1.718,3099
0.076,1.555,3099
0.080,0.623,3110
0.084,-0.482,3110
0.088,-1.097,3110
0.092,-1.692,3110
0.096,-2.138,3110
0.100,-2.382,3110
0.104,-2.447,3110
0.108,-2.292,3110
0.112,-1.952,3120
0.116,-1.462,3120
0.120,-0.892,3120
0.124,-0.290,3120
0.128,0.352,3120
0.132,0.932,3120
0.136,1.387,3120
0.140,1.637,3120
0.144,1.692,3120
0.148,1.518,3120
0.152,1.167,3119
0.156,0.665,3119
0.160,-0.608,3119
0.164,-1.312,3119
0.168,-1.708,3119
0.172,-2.132,3119
0.176,-2.365,3119
0.180,-2.413,3119
0.184,-2.252,3119
0.188,-1.893,3133
0.192,-1.383,3133
0.196,-0.820,3133
0.200,-0.220,3133
0.204,0.417,3133
0.208,1.008,3133
0.212,1.452,3133
0.216,1.692,3133
0.220,1.735,3133
0.224,1.558,3133
0.228,1.188,3131
0.232,0.670,3131
0.236,0.113,3131
0.240,-1.248,3131
0.244,-2.190,3131
0.248,-2.413,3131
0.252,-2.453,3131
0.256,-2.290,3131
0.260,-1.942,3138
0.264,-1.440,3138
0.268,-0.873,3138
0.272,-0.268,3138
0.276,0.367,3138
0.280,0.948,3138
0.284,1.397,3138
0.288,1.647,3138
0.292,1.698,3138
0.296,1.528,3138
0.300,1.167,3135
0.304,0.652,3135
0.308,0.092,3135
0.312,-0.532,3135
0.316,-1.165,3135
0.320,-2.220,3135
0.324,-2.420,3135
0.328,-2.425,3135
0.332,-2.260,3135
0.336,-1.900,3135
0.340,-1.393,3135
0.344,-0.828,3135
0.348,-0.230,3135
0.352,0.398,3135
0.356,0.983,3135
0.360,1.433,3135
0.364,1.667,3135
0.368,1.702,3135
0.372,1.532,3135
0.376,1.150,3145
0.380,0.635,3145
0.384,0.077,3145
0.388,-0.550,3145
0.392,-1.173,3145
0.396,-1.728,3145
0.400,-2.402,3145
0.404,-2.413,3145
0.408,-2.225,3145
0.412,-1.885,3146
0.416,-1.377,3146
