Czas(s),PPG_Surowe(ADC)
2.844,-20102
2.848,-20102
2.852,-20131
2.856,-20131
2.860,-20131
2.864,-20131
2.868,-20131
2.872,-20131
2.876,-20131
2.880,-20131
2.884,-20131
2.888,-20105
2.892,-20105
2.896,-20105
2.900,-20105
2.904,-20105
2.908,-20105
2.912,-20105
2.916,-20105
2.920,-20105
2.924,-20105
2.928,-20124
2.932,-20124
2.936,-20124
2.940,-20124
2.944,-20124
2.948,-20124
2.952,-20124
2.956,-20124
2.960,-20124
2.964,-20096
2.968,-20096
2.972,-20096
2.976,-20096
2.980,-20096
2.984,-20096
2.988,-20096
2.992,-20096
2.996,-20096
3.000,-20096
3.004,-20131
3.008,-20131
3.012,-20131
3.016,-20131
3.020,-20131
3.024,-20131
3.028,-20131
3.032,-20131
3.036,-20131
3.040,-20108
3.044,-20108
3.048,-20108
3.052,-20108
3.056,-20108
3.060,-20108
3.064,-20108
3.068,-20108
3.072,-20108
3.076,-20108
3.080,-20117
3.084,-20117
3.088,-20117
3.092,-20117
3.096,-20117
3.100,-20117
3.104,-20117
3.108,-20117
3.112,-20117
3.116,-20117
3.120,-20097
3.124,-20097
3.128,-20097
3.132,-20097
3.136,-20097
3.140,-20097
3.144,-20097
3.148,-20097
3.152,-20097
3.156,-20146
3.160,-20146
3.164,-20146
3.168,-20146
3.172,-20146
3.176,-20146
3.180,-20146
3.184,-20146
3.188,-20146
3.192,-20146
3.196,-20146
3.200,-20125
3.204,-20125
3.208,-20125
3.212,-20125
3.216,-20125
3.220,-20125
3.224,-20125
3.228,-20125
3.232,-20164
3.236,-20164
3.240,-20164
3.244,-20164
3.248,-20164
3.252,-20164
3.256,-20164
3.260,-20164
3.264,-20164
3.268,-20164
3.272,-20190
3.276,-20190
3.280,-20190
3.284,-20190
3.288,-20190
3.292,-20190
3.296,-20190
3.300,-20190
3.304,-20190
3.308,-20193
3.312,-20193
3.316,-20193
3.320,-20193
3.324,-20193
3.328,-20193
3.332,-20193
3.336,-20193
3.340,-20193
3.344,-20193
3.348,-20168
3.352,-20168
3.356,-20168
3.360,-20168
3.364,-20168
3.368,-20168
3.372,-20168
3.376,-20168
3.380,-20168
3.384,-20180
3.388,-20180
3.392,-20180
3.396,-20180
3.400,-20180
3.404,-20180
3.408,-20180
3.412,-20180
3.416,-20180
3.420,-20180
3.424,-20160
3.428,-20160
3.432,-20160
3.436,-20160
3.440,-20160
3.444,-20160
3.448,-20160
3.452,-20160
3.456,-20160
3.460,-20147
3.464,-20147
3.468,-20147
3.472,-20147
3.476,-20147
3.480,-20147
3.484,-20147
3.488,-20147
3.492,-20147
3.496,-20147
3.500,-20122
3.504,-20122
3.508,-20122
3.512,-20122
3.516,-20122
3.520,-20122
3.524,-20122
3.528,-20122
3.532,-20122
3.536,-20079
3.540,-20079
3.544,-20079
3.548,-20079
3.552,-20079
3.556,-20079
3.560,-20079
3.564,-20079
3.568,-20079
3.572,-20046
3.576,-20046
3.580,-20046
3.584,-20046
3.588,-20046
3.592,-20046
3.596,-20046
3.600,-20046
3.604,-20046
3.608,-19997
3.612,-19997
3.616,-19997
3.620,-19997
3.624,-19997
3.628,-19997
3.632,-19997
3.636,-19997
3.640,-19997
3.644,-19997
3.648,-19962
3.652,-19962
3.656,-19962
3.660,-19962
3.664,-19962
3.668,-19962
3.672,-19962
3.676,-19962
3.680,-19962
3.684,-19940
3.688,-19940
3.692,-19940
3.696,-19940
3.700,-19940
3.704,-19940
3.708,-19940
3.712,-19940
3.716,-19940
3.720,-19940
3.724,-19929
3.728,-19929
3.732,-19929
3.736,-19929
3.740,-19929
3.744,-19929
3.748,-19929
3.752,-19929
3.756,-19929
3.760,-19905
3.764,-19905
3.768,-19905
3.772,-19905
3.776,-19905
3.780,-19905
3.784,-19905
3.788,-19905
3.792,-19905
3.796,-19897
3.800,-19897
3.804,-19897
3.808,-19897
3.812,-19897
3.816,-19897
3.820,-19897
3.824,-19897
3.828,-19897
3.832,-19897
3.836,-19898
3.840,-19898
3.844,-19898
3.848,-19898
3.852,-19898
3.856,-19898
3.860,-19898
3.864,-19898
3.868,-19898
3.872,-19885
3.876,-19885
3.880,-19885
3.884,-19885
3.888,-19885
3.892,-19885
3.896,-19885
3.900,-19885
3.904,-19885
3.908,-19885
3.912,-19896
3.916,-19896
3.920,-19896
3.924,-19896
3.928,-19896
3.932,-19896
3.936,-19896
3.940,-19896
3.944,-19896
3.948,-19863
3.952,-19863
3.956,-19863
3.960,-19863
3.964,-19863
3.968,-19863
3.972,-19863
3.976,-19863
3.980,-19863
3.984,-19863
3.988,-19840
3.992,-19840
3.996,-19840
4.000,-19840
4.004,-19840
4.008,-19840
4.012,-19840
4.016,-19840
4.020,-19840
4.024,-19826
4.028,-19826
4.032,-19826
4.036,-19826
4.040,-19826
4.044,-19826
4.048,-19826
4.052,-19826
4.056,-19826
4.060,-19826
4.064,-19770
4.068,-19770
4.072,-19770
4.076,-19770
4.080,-19770
4.084,-19770
4.088,-19770
4.092,-19770
4.096,-19770
4.100,-19751
4.104,-19751
4.108,-19751
4.112,-19751
4.116,-19751
4.120,-19751
4.124,-19751
4.128,-19751
4.132,-19751
4.136,-19751
4.140,-19739
4.144,-19739
4.148,-19739
4.152,-19739
4.156,-19739
4.160,-19739
4.164,-19739
4.168,-19739
4.172,-19739
4.176,-19721
4.180,-19721
4.184,-19721
4.188,-19721
4.192,-19721
4.196,-19721
4.200,-19721
4.204,-19721
4.208,-19721
4.212,-19721
4.216,-19702
4.220,-19702
4.224,-19702
4.228,-19702
4.232,-19702
4.236,-19702
4.240,-19702
4.244,-19702
4.248,-19702
4.252,-19702
4.256,-19703
4.260,-19703
4.264,-19703
4.268,-19703
4.272,-19703
4.276,-19703
4.280,-19703
4.284,-19703
4.288,-19703
4.292,-19703
4.296,-19714
4.300,-19714
4.304,-19714
4.308,-19714
4.312,-19714
4.316,-19714
4.320,-19714
4.324,-19714
4.328,-19714
4.332,-19694
4.336,-19694
4.340,-19694
4.344,-19694
4.348,-19694
4.352,-19694
4.356,-19694
4.360,-19694
4.364,-19694
4.368,-19694
4.372,-19667
4.376,-19667
4.380,-19667
4.384,-19667
4.388,-19667
4.392,-19667
4.396,-19667
4.400,-19667
4.404,-19667
4.408,-19601
4.412,-19601
4.416,-19601
4.420,-19601
4.424,-19601
4.428,-19601
4.432,-19601
4.436,-19601
4.440,-19601
4.444,-19601
4.448,-19544
4.452,-19544
4.456,-19544
4.460,-19544
4.464,-19544
4.468,-19544
4.472,-19544
4.476,-19544
4.480,-19544
4.484,-19511
4.488,-19511
4.492,-19511
4.496,-19511
4.500,-19511
4.504,-19511
4.508,-19511
4.512,-19511
4.516,-19511
4.520,-19511
4.524,-19460
4.528,-19460
4.532,-19460
4.536,-19460
4.540,-19460
4.544,-19460
4.548,-19460
4.552,-19460
4.556,-19460
4.560,-19444
4.564,-19444
4.568,-19444
4.572,-19444
4.576,-19444
4.580,-19444
4.584,-19444
4.588,-19444
4.592,-19444
4.596,-19442
4.600,-19442
4.604,-19442
4.608,-19442
4.612,-19442
4.616,-19442
4.620,-19442
4.624,-19442
4.628,-19442
4.632,-19442
4.636,-19411
4.640,-19411
4.644,-19411
4.648,-19411
4.652,-19411
4.656,-19411
4.660,-19411
4.664,-19411
4.668,-19411
4.672,-19378
4.676,-19378
4.680,-19378
4.684,-19378
4.688,-19378
4.692,-19378
4.696,-19378
4.700,-19378
4.704,-19378
4.708,-19378
4.712,-19365
4.716,-19365
4.720,-19365
4.724,-19365
4.728,-19365
4.732,-19365
4.736,-19365
4.740,-19365
4.744,-19365
4.748,-19337
4.752,-19337
4.756,-19337
4.760,-19337
4.764,-19337
4.768,-19337
4.772,-19337
4.776,-19337
4.780,-19337
4.784,-19337
4.788,-19336
4.792,-19336
4.796,-19336
4.800,-19336
4.804,-19336
4.808,-19336
4.812,-19336
4.816,-19336
4.820,-19336
4.824,-19263
4.828,-19263
4.832,-19263
4.836,-19263
4.840,-19263
4.844,-19263
4.848,-19263
4.852,-19263
4.856,-19263
4.860,-19263
4.864,-19251
4.868,-19251
4.872,-19251
4.876,-19251
4.880,-19251
4.884,-19251
4.888,-19251
4.892,-19251
4.896,-19251
4.900,-19236
4.904,-19236
4.908,-19236
4.912,-19236
4.916,-19236
4.920,-19236
4.924,-19236
4.928,-19236
4.932,-19236
4.936,-19236
4.940,-19197
4.944,-19197
4.948,-19197
4.952,-19197
4.956,-19197
4.960,-19197
4.964,-19197
4.968,-19197
4.972,-19197
4.976,-19172
4.980,-19172
4.984,-19172
4.988,-19172
4.992,-19172
4.996,-19172
5.000,-19172
5.004,-19172
5.008,-19172
5.012,-19172
5.016,-19184
5.020,-19184
5.024,-19184
5.028,-19184
5.032,-19184
5.036,-19184
5.040,-19184
5.044,-19184
5.048,-19184
5.052,-19170
5.056,-19170
5.060,-19170
5.064,-19170
5.068,-19170
5.072,-19170
5.076,-19170
5.080,-19170
5.084,-19170
5.088,-19170
5.092,-19153
5.096,-19153
5.100,-19153
5.104,-19153
5.108,-19153
5.112,-19153
5.116,-19153
5.120,-19153
5.124,-19153
5.128,-19113
5.132,-19113
5.136,-19113
5.140,-19113
5.144,-19113
5.148,-19113
5.152,-19113
5.156,-19113
5.160,-19113
5.164,-19113
5.168,-19156
5.172,-19156
5.176,-19156
5.180,-19156
5.184,-19156
5.188,-19156
5.192,-19156
5.196,-19156
5.200,-19156
5.204,-19137
5.208,-19137
5.212,-19137
5.216,-19137
5.220,-19137
5.224,-19137
5.228,-19137
5.232,-19137
5.236,-19137
5.240,-19137
5.244,-19114
5.248,-19114
5.252,-19114
5.256,-19114
5.260,-19114
5.264,-19114
5.268,-19114
5.272,-19114
5.276,-19114
5.280,-19121
5.284,-19121
5.288,-19121
5.292,-19121
5.296,-19121
5.300,-19121
5.304,-19121
5.308,-19121
5.312,-19121
5.316,-19121
5.320,-19121
5.324,-19114
5.328,-19114
5.332,-19114
5.336,-19114
5.340,-19114
5.344,-19114
5.348,-19114
5.352,-19114
5.356,-19114
5.360,-19123
5.364,-19123
5.368,-19123
5.372,-19123
5.376,-19123
5.380,-19123
5.384,-19123
5.388,-19123
5.392,-19123
5.396,-19099
5.400,-19099
5.404,-19099
5.408,-19099
5.412,-19099
5.416,-19099
5.420,-19099
5.424,-19099
5.428,-19099
5.432,-19099
5.436,-19112
5.440,-19112
5.444,-19112
5.448,-19112
5.452,-19112
5.456,-19112
5.460,-19112
5.464,-19112
5.468,-19112
5.472,-19088
5.476,-19088
5.480,-19088
5.484,-19088
5.488,-19088
5.492,-19088
5.496,-19088
5.500,-19088
5.504,-19088
5.508,-19088
5.512,-19087
5.516,-19087
5.520,-19087
5.524,-19087
5.528,-19087
5.532,-19087
5.536,-19087
5.540,-19087
5.544,-19087
5.548,-19068
5.552,-19068
5.556,-19068
5.560,-19068
5.564,-19068
5.568,-19068
5.572,-19068
5.576,-19068
5.580,-19068
5.584,-19068
5.588,-19061
5.592,-19061
5.596,-19061
5.600,-19061
5.604,-19061
5.608,-19061
5.612,-19061
5.616,-19061
5.620,-19061
5.624,-19001
5.628,-19001
5.632,-19001
5.636,-19001
5.640,-19001
5.644,-19001
5.648,-19001
5.652,-19001
5.656,-19001
5.660,-19001
5.664,-19040
5.668,-19040
5.672,-19040
5.676,-19040
5.680,-19040
5.684,-19040
5.688,-19040
5.692,-19040
5.696,-19040
5.700,-18976
5.704,-18976
5.708,-18976
5.712,-18976
5.716,-18976
5.720,-18976
5.724,-18976
5.728,-18976
5.732,-18976
5.736,-18976
5.740,-18957
5.744,-18957
5.748,-18957
5.752,-18957
5.756,-18957
5.760,-18957
5.764,-18957
5.768,-18957
5.772,-18957
5.776,-18957
5.780,-18957
5.784,-18957
5.788,-18957
5.792,-18957
5.796,-18957
5.800,-18957
5.804,-18957
5.808,-18957
5.812,-18957
5.816,-19024
5.820,-19024
5.824,-19024
5.828,-19024
5.832,-19024
5.836,-19024
5.840,-19024
5.844,-19024
5.848,-19024
5.852,-18983
5.856,-18983
5.860,-18983
5.864,-18983
5.868,-18983
5.872,-18983
5.876,-18983
5.880,-18983
5.884,-18983
5.888,-18983
5.892,-19032
5.896,-19032
5.900,-19032
5.904,-19032
5.908,-19032
5.912,-19032
5.916,-19032
5.920,-19032
5.924,-19032
5.928,-19042
5.932,-19042
5.936,-19042
5.940,-19042
5.944,-19042
5.948,-19042
5.952,-19042
5.956,-19042
5.960,-19042
5.964,-19042
5.968,-19056
5.972,-19056
5.976,-19056
5.980,-19056
5.984,-19056
5.988,-19056
5.992,-19056
5.996,-19056
6.000,-19056
6.004,-19066
6.008,-19066
6.012,-19066
6.016,-19066
6.020,-19066
6.024,-19066
6.028,-19066
6.032,-19066
6.036,-19066
6.040,-19066
6.044,-19123
6.048,-19123
6.052,-19123
6.056,-19123
6.060,-19123
6.064,-19123
6.068,-19123
6.072,-19123
6.076,-19123
6.080,-19189
6.084,-19189
6.088,-19189
6.092,-19189
6.096,-19189
6.100,-19189
6.104,-19189
6.108,-19189
6.112,-19189
6.116,-19189
6.120,-19224
6.124,-19224
6.128,-19224
6.132,-19224
6.136,-19224
6.140,-19224
6.144,-19224
6.148,-19224
6.152,-19224
6.156,-19224
6.160,-19295
6.164,-19295
6.168,-19295
6.172,-19295
6.176,-19295
6.180,-19295
6.184,-19295
6.188,-19295
6.192,-19295
6.196,-19331
6.200,-19331
6.204,-19331
6.208,-19331
6.212,-19331
6.216,-19331
6.220,-19331
6.224,-19331
6.228,-19331
6.232,-19331
6.236,-19388
6.240,-19388
6.244,-19388
6.248,-19388
6.252,-19388
6.256,-19388
6.260,-19388
6.264,-19388
6.268,-19388
6.272,-19420
6.276,-19420
6.280,-19420
6.284,-19420
6.288,-19420
6.292,-19420
6.296,-19420
6.300,-19420
6.304,-19420
6.308,-19420
6.312,-19466
6.316,-19466
6.320,-19466
6.324,-19466
6.328,-19466
6.332,-19466
6.336,-19466
6.340,-19466
6.344,-19466
6.348,-19470
6.352,-19470
6.356,-19470
6.360,-19470
6.364,-19470
6.368,-19470
6.372,-19470
6.376,-19470
6.380,-19470
6.384,-19470
6.388,-19483
6.392,-19483
6.396,-19483
6.400,-19483
6.404,-19483
6.408,-19483
6.412,-19483
6.416,-19483
6.420,-19483
6.424,-19483
6.428,-19507
6.432,-19507
6.436,-19507
6.440,-19507
6.444,-19507
6.448,-19507
6.452,-19507
6.456,-19507
6.460,-19507
6.464,-19507
6.468,-19531
6.472,-19531
6.476,-19531
6.480,-19531
6.484,-19531
6.488,-19531
6.492,-19531
6.496,-19531
6.500,-19531
6.504,-19561
6.508,-19561
6.512,-19561
6.516,-19561
6.520,-19561
6.524,-19561
6.528,-19561
6.532,-19561
6.536,-19561
6.540,-19561
6.544,-19588
6.548,-19588
6.552,-19588
6.556,-19588
6.560,-19588
6.564,-19588
6.568,-19588
6.572,-19588
6.576,-19588
6.580,-19613
6.584,-19613
6.588,-19613
6.592,-19613
6.596,-19613
6.600,-19613
6.604,-19613
6.608,-19613
6.612,-19613
6.616,-19613
6.620,-19617
6.624,-19617
6.628,-19617
6.632,-19617
6.636,-19617
6.640,-19617
6.644,-19617
6.648,-19617
6.652,-19617
6.656,-19639
6.660,-19639
6.664,-19639
6.668,-19639
6.672,-19639
6.676,-19639
6.680,-19639
6.684,-19639
6.688,-19639
6.692,-19639
6.696,-19645
6.700,-19645
6.704,-19645
6.708,-19645
6.712,-19645
6.716,-19645
6.720,-19645
6.724,-19645
6.728,-19645
6.732,-19681
6.736,-19681
6.740,-19681
6.744,-19681
6.748,-19681
6.752,-19681
6.756,-19681
6.760,-19681
6.764,-19681
6.768,-19681
6.772,-19635
6.776,-19635
6.780,-19635
6.784,-19635
6.788,-19635
6.792,-19635
6.796,-19635
6.800,-19635
6.804,-19635
6.808,-19623
6.812,-19623
6.816,-19623
6.820,-19623
6.824,-19623
6.828,-19623
6.832,-19623
6.836,-19623
6.840,-19623
6.844,-19623
6.848,-19626
6.852,-19626
6.856,-19626
6.860,-19626
6.864,-19626
6.868,-19626
6.872,-19626
6.876,-19626
6.880,-19626
6.884,-19628
6.888,-19628
6.892,-19628
6.896,-19628
6.900,-19628
6.904,-19628
6.908,-19628
6.912,-19628
6.916,-19628
6.920,-19628
6.924,-19642
6.928,-19642
6.932,-19642
6.936,-19642
6.940,-19642
6.944,-19642
6.948,-19642
6.952,-19642
6.956,-19642
6.960,-19647
6.964,-19647
6.968,-19647
6.972,-19647
