Czas(s),PPG_Surowe(ADC)
0.000,-20173
0.004,-20173
0.008,-20173
0.012,-20173
0.016,-20173
0.020,-20173
0.024,-20168
0.028,-20168
0.032,-20168
0.036,-20168
0.040,-20168
0.044,-20168
0.048,-20168
0.052,-20168
0.056,-20168
0.060,-20168
0.064,-20162
0.068,-20162
0.072,-20162
0.076,-20162
0.080,-20162
0.084,-20162
0.088,-20162
0.092,-20162
0.096,-20162
0.100,-20136
0.104,-20136
0.108,-20136
0.112,-20136
0.116,-20136
0.120,-20136
0.124,-20136
0.128,-20136
0.132,-20136
0.136,-20136
0.140,-20139
0.144,-20139
0.148,-20139
0.152,-20139
0.156,-20139
0.160,-20139
0.164,-20139
0.168,-20139
0.172,-20139
0.176,-20097
0.180,-20097
0.184,-20097
0.188,-20097
0.192,-20097
0.196,-20097
0.200,-20097
0.204,-20097
0.208,-20097
0.212,-20097
0.216,-20102
0.220,-20102
0.224,-20102
0.228,-20102
0.232,-20102
0.236,-20102
0.240,-20102
0.244,-20102
0.248,-20102
0.252,-20076
0.256,-20076
0.260,-20076
0.264,-20076
0.268,-20076
0.272,-20076
0.276,-20076
0.280,-20076
0.284,-20076
0.288,-20076
0.292,-20131
0.296,-20131
0.300,-20131
0.304,-20131
0.308,-20131
0.312,-20131
0.316,-20131
0.320,-20131
0.324,-20131
0.328,-20153
0.332,-20153
0.336,-20153
0.340,-20153
0.344,-20153
0.348,-20153
0.352,-20153
0.356,-20153
0.360,-20153
0.364,-20153
0.368,-20169
0.372,-20169
0.376,-20169
0.380,-20169
0.384,-20169
0.388,-20169
0.392,-20169
0.396,-20169
0.400,-20169
0.404,-20248
0.408,-20248
0.412,-20248
0.416,-20248
0.420,-20248
0.424,-20248
0.428,-20248
0.432,-20248
0.436,-20248
0.440,-20248
0.444,-20228
0.448,-20228
0.452,-20228
0.456,-20228
0.460,-20228
0.464,-20228
0.468,-20228
0.472,-20228
0.476,-20228
0.480,-20205
0.484,-20205
0.488,-20205
0.492,-20205
0.496,-20205
0.500,-20205
0.504,-20205
0.508,-20205
0.512,-20205
0.516,-20205
0.520,-20183
0.524,-20183
0.528,-20183
0.532,-20183
0.536,-20183
0.540,-20183
0.544,-20183
0.548,-20183
0.552,-20183
0.556,-20183
0.560,-20184
0.564,-20184
0.568,-20184
0.572,-20184
0.576,-20184
0.580,-20184
0.584,-20184
0.588,-20184
0.592,-20184
0.596,-20174
0.600,-20174
0.604,-20174
0.608,-20174
0.612,-20174
0.616,-20174
0.620,-20174
0.624,-20174
0.628,-20174
0.632,-20174
0.636,-20188
0.640,-20188
0.644,-20188
0.648,-20188
0.652,-20188
0.656,-20188
0.660,-20188
0.664,-20188
0.668,-20188
0.672,-20199
0.676,-20199
0.680,-20199
0.684,-20199
0.688,-20199
0.692,-20199
0.696,-20199
0.700,-20199
0.704,-20199
0.708,-20199
0.712,-20235
0.716,-20235
0.720,-20235
0.724,-20235
0.728,-20235
0.732,-20235
0.736,-20235
0.740,-20235
0.744,-20235
0.748,-20235
0.752,-20235
0.756,-20235
0.760,-20235
0.764,-20235
0.768,-20235
0.772,-20235
0.776,-20235
0.780,-20235
0.784,-20235
0.788,-20245
0.792,-20245
0.796,-20245
0.800,-20245
0.804,-20245
0.808,-20245
0.812,-20245
0.816,-20245
0.820,-20245
0.824,-20245
0.828,-20245
0.832,-20245
0.836,-20245
0.840,-20245
0.844,-20245
0.848,-20245
0.852,-20245
0.856,-20245
0.860,-20245
0.864,-20266
0.868,-20266
0.872,-20266
0.876,-20266
0.880,-20266
0.884,-20266
0.888,-20266
0.892,-20266
0.896,-20266
0.900,-20279
0.904,-20279
0.908,-20279
0.912,-20279
0.916,-20279
0.920,-20279
0.924,-20279
0.928,-20279
0.932,-20279
0.936,-20279
0.940,-20271
0.944,-20271
0.948,-20271
0.952,-20271
0.956,-20271
0.960,-20271
0.964,-20271
0.968,-20271
0.972,-20271
0.976,-20233
0.980,-20233
0.984,-20233
0.988,-20233
0.992,-20233
0.996,-20233
1.000,-20233
1.004,-20233
1.008,-20233
1.012,-20233
1.016,-20233
1.020,-20237
1.024,-20237
1.028,-20237
1.032,-20237
1.036,-20237
1.040,-20237
1.044,-20237
1.048,-20237
1.052,-20237
1.056,-20198
1.060,-20198
1.064,-20198
1.068,-20198
1.072,-20198
1.076,-20198
1.080,-20198
1.084,-20198
1.088,-20198
1.092,-20198
1.096,-20189
1.100,-20189
1.104,-20189
1.108,-20189
1.112,-20189
1.116,-20189
1.120,-20189
1.124,-20189
1.128,-20189
1.132,-20181
1.136,-20181
1.140,-20181
1.144,-20181
1.148,-20181
1.152,-20181
1.156,-20181
1.160,-20181
1.164,-20181
1.168,-20181
1.172,-20160
1.176,-20160
1.180,-20160
1.184,-20160
1.188,-20160
1.192,-20160
1.196,-20160
1.200,-20160
1.204,-20129
1.208,-20129
1.212,-20129
1.216,-20129
1.220,-20129
1.224,-20129
1.228,-20129
1.232,-20129
1.236,-20129
1.240,-20129
1.244,-20129
1.248,-20103
1.252,-20103
1.256,-20103
1.260,-20103
1.264,-20103
1.268,-20103
1.272,-20103
1.276,-20103
1.280,-20103
1.284,-20084
1.288,-20084
1.292,-20084
1.296,-20084
1.300,-20084
1.304,-20084
1.308,-20084
1.312,-20084
1.316,-20084
1.320,-20084
1.324,-20076
1.328,-20076
1.332,-20076
1.336,-20076
1.340,-20076
1.344,-20076
1.348,-20076
1.352,-20076
1.356,-20076
1.360,-20093
1.364,-20093
1.368,-20093
1.372,-20093
1.376,-20093
1.380,-20093
1.384,-20093
1.388,-20093
1.392,-20093
1.396,-20093
1.400,-20085
1.404,-20085
1.408,-20085
1.412,-20085
1.416,-20085
1.420,-20085
1.424,-20085
1.428,-20085
1.432,-20085
1.436,-20085
1.440,-20087
1.444,-20087
1.448,-20087
1.452,-20087
1.456,-20087
1.460,-20087
1.464,-20087
1.468,-20087
1.472,-20087
1.476,-20068
1.480,-20068
1.484,-20068
1.488,-20068
1.492,-20068
1.496,-20068
1.500,-20068
1.504,-20068
1.508,-20068
1.512,-20068
1.516,-20036
1.520,-20036
1.524,-20036
1.528,-20036
1.532,-20036
1.536,-20036
1.540,-20036
1.544,-20036
1.548,-20036
1.552,-20055
1.556,-20055
1.560,-20055
1.564,-20055
1.568,-20055
1.572,-20055
1.576,-20055
1.580,-20055
1.584,-20055
1.588,-20055
1.592,-19990
1.596,-19990
1.600,-19990
1.604,-19990
1.608,-19990
1.612,-19990
1.616,-19990
1.620,-19990
1.624,-19990
1.628,-19992
1.632,-19992
1.636,-19992
1.640,-19992
1.644,-19992
1.648,-19992
1.652,-19992
1.656,-19992
1.660,-19992
1.664,-19992
1.668,-19992
1.672,-19992
1.676,-19992
1.680,-19992
1.684,-19992
1.688,-19992
1.692,-19992
1.696,-19992
1.700,-19992
1.704,-19961
1.708,-19961
1.712,-19961
1.716,-19961
1.720,-19961
1.724,-19961
1.728,-19961
1.732,-19961
1.736,-19961
1.740,-19961
1.744,-19946
1.748,-19946
1.752,-19946
1.756,-19946
1.760,-19946
1.764,-19946
1.768,-19946
1.772,-19946
1.776,-19946
1.780,-19951
1.784,-19951
1.788,-19951
1.792,-19951
1.796,-19951
1.800,-19951
1.804,-19951
1.808,-19951
1.812,-19951
1.816,-19951
1.820,-19888
1.824,-19888
1.828,-19888
1.832,-19888
1.836,-19888
1.840,-19888
1.844,-19888
1.848,-19888
1.852,-19888
1.856,-19889
1.860,-19889
1.864,-19889
1.868,-19889
1.872,-19889
1.876,-19889
1.880,-19889
1.884,-19889
1.888,-19889
1.892,-19889
1.896,-19847
1.900,-19847
1.904,-19847
1.908,-19847
1.912,-19847
1.916,-19847
1.920,-19847
1.924,-19847
1.928,-19847
1.932,-19844
1.936,-19844
1.940,-19844
1.944,-19844
1.948,-19844
1.952,-19844
1.956,-19844
1.960,-19844
1.964,-19844
1.968,-19844
1.972,-19850
1.976,-19850
1.980,-19850
1.984,-19850
1.988,-19850
1.992,-19850
1.996,-19850
2.000,-19850
2.004,-19850
2.008,-19865
2.012,-19865
2.016,-19865
2.020,-19865
2.024,-19865
2.028,-19865
2.032,-19865
2.036,-19865
2.040,-19865
2.044,-19865
2.048,-19849
2.052,-19849
2.056,-19849
2.060,-19849
2.064,-19849
2.068,-19849
2.072,-19849
2.076,-19849
2.080,-19849
2.084,-19828
2.088,-19828
2.092,-19828
2.096,-19828
2.100,-19828
2.104,-19828
2.108,-19828
2.112,-19828
2.116,-19828
2.120,-19828
2.124,-19828
2.128,-19793
2.132,-19793
2.136,-19793
2.140,-19793
2.144,-19793
2.148,-19793
2.152,-19793
2.156,-19793
2.160,-19789
2.164,-19789
2.168,-19789
2.172,-19789
2.176,-19789
2.180,-19789
2.184,-19789
2.188,-19789
2.192,-19789
2.196,-19789
2.200,-19789
2.204,-19740
2.208,-19740
2.212,-19740
2.216,-19740
2.220,-19740
2.224,-19740
2.228,-19740
2.232,-19740
2.236,-19740
2.240,-19762
2.244,-19762
2.248,-19762
2.252,-19762
2.256,-19762
2.260,-19762
2.264,-19762
2.268,-19762
2.272,-19762
2.276,-19762
2.280,-19739
2.284,-19739
2.288,-19739
2.292,-19739
2.296,-19739
2.300,-19739
2.304,-19739
2.308,-19739
2.312,-19739
2.316,-19739
2.320,-19777
2.324,-19777
2.328,-19777
2.332,-19777
2.336,-19777
2.340,-19777
2.344,-19777
2.348,-19777
2.352,-19777
2.356,-19768
2.360,-19768
2.364,-19768
2.368,-19768
2.372,-19768
2.376,-19768
2.380,-19768
2.384,-19768
2.388,-19768
2.392,-19768
2.396,-19782
2.400,-19782
2.404,-19782
2.408,-19782
2.412,-19782
2.416,-19782
2.420,-19782
2.424,-19782
2.428,-19782
2.432,-19774
2.436,-19774
2.440,-19774
2.444,-19774
2.448,-19774
2.452,-19774
2.456,-19774
2.460,-19774
2.464,-19774
2.468,-19774
2.472,-19760
2.476,-19760
2.480,-19760
2.484,-19760
2.488,-19760
2.492,-19760
2.496,-19760
2.500,-19760
2.504,-19760
2.508,-19758
2.512,-19758
2.516,-19758
2.520,-19758
2.524,-19758
2.528,-19758
2.532,-19758
2.536,-19758
2.540,-19758
2.544,-19758
2.548,-19802
2.552,-19802
2.556,-19802
2.560,-19802
2.564,-19802
2.568,-19802
2.572,-19802
2.576,-19802
2.580,-19802
2.584,-19835
2.588,-19835
2.592,-19835
2.596,-19835
2.600,-19835
2.604,-19835
2.608,-19835
2.612,-19835
2.616,-19835
2.620,-19835
2.624,-19883
2.628,-19883
2.632,-19883
2.636,-19883
2.640,-19883
2.644,-19883
2.648,-19883
2.652,-19883
2.656,-19883
2.660,-19945
2.664,-19945
2.668,-19945
2.672,-19945
2.676,-19945
2.680,-19945
2.684,-19945
2.688,-19945
2.692,-19945
2.696,-19945
2.700,-19999
2.704,-19999
2.708,-19999
2.712,-19999
2.716,-19999
2.720,-19999
2.724,-19999
2.728,-19999
2.732,-19999
2.736,-20035
2.740,-20035
2.744,-20035
2.748,-20035
2.752,-20035
2.756,-20035
2.760,-20035
2.764,-20035
2.768,-20035
2.772,-20035
2.776,-20068
2.780,-20068
2.784,-20068
2.788,-20068
2.792,-20068
2.796,-20068
2.800,-20068
2.804,-20068
2.808,-20068
2.812,-20102
2.816,-20102
2.820,-20102
2.824,-20102
2.828,-20102
2.832,-20102
2.836,-20102
2.840,-20102
