Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,-0.693,3135
0.001,-1.093,3135
0.002,-1.532,3135
0.003,-1.847,3135
0.004,-1.995,3135
0.005,-1.992,3135
0.006,-1.823,3141
0.007,-1.492,3141
0.008,-1.062,3141
0.009,-0.578,3141
0.010,-0.068,3141
0.011,0.422,3141
0.012,0.868,3141
0.013,1.188,3141
0.014,1.357,3141
0.015,1.357,3141
0.016,1.170,3123
0.017,0.833,3123
0.018,0.398,3123
0.019,-0.092,3123
0.020,-1.173,3123
0.021,-1.620,3123
0.022,-1.870,3123
0.023,-2.013,3123
0.024,-2.015,3123
0.025,-1.827,3135
0.026,-1.498,3135
0.027,-1.058,3135
0.028,-0.583,3135
0.029,-0.087,3135
0.030,0.395,3135
0.031,0.835,3135
0.032,1.153,3135
0.033,1.317,3135
0.034,1.323,3135
0.035,1.145,3131
0.036,0.818,3131
0.037,0.380,3131
0.038,-0.087,3131
0.039,-0.593,3131
0.040,-1.653,3131
0.041,-1.853,3131
0.042,-2.002,3131
0.043,-1.992,3131
0.044,-1.823,3130
0.045,-1.498,3130
0.046,-1.065,3130
0.047,-0.583,3130
0.048,-0.072,3130
0.049,0.427,3130
0.050,0.865,3130
0.051,1.188,3130
0.052,1.357,3130
0.053,1.355,3130
0.054,1.180,3132
0.055,0.848,3132
0.056,0.412,3132
0.057,-0.083,3132
0.058,-0.588,3132
0.059,-1.093,3132
0.060,-1.905,3132
0.061,-2.045,3132
0.062,-2.020,3132
0.063,-1.847,3121
0.064,-1.032,3121
0.065,-0.605,3121
0.066,-0.095,3121
0.067,0.410,3121
0.068,0.875,3121
0.069,1.177,3121
0.070,1.347,3121
0.071,1.357,3121
0.072,1.173,3129
0.073,0.833,3129
0.074,0.235,3129
0.075,-0.075,3129
0.076,-0.590,3129
0.077,-1.085,3129
0.078,-1.532,3129
0.079,-1.873,3129
0.080,-1.992,3129
0.081,-1.833,3132
0.082,-1.510,3132
0.083,-1.087,3132
0.084,-0.562,3132
0.085,0.037,3132
0.086,0.407,3132
0.087,0.848,3132
0.088,1.173,3132
0.089,1.340,3132
0.090,1.347,3132
0.091,1.170,3119
0.092,0.833,3119
0.093,0.398,3119
0.094,-0.092,3119
0.095,-0.593,3119
0.096,-1.087,3119
0.097,-1.540,3119
0.098,-1.853,3119
0.099,-2.010,3119
0.100,-1.802,3109
0.101,-1.050,3109
0.102,-0.608,3109
0.103,-0.102,3109
0.104,0.398,3109
0.105,0.850,3109
0.106,1.173,3109
0.107,1.345,3109
0.108,1.353,3109
0.109,1.167,3109
0.110,0.838,3135
0.111,0.395,3135
0.112,-0.087,3135
0.113,-0.588,3135
0.114,-1.083,3135
0.115,-1.532,3135
0.116,-1.847,3135
0.117,-2.007,3135
0.118,-2.013,3135
0.119,-1.843,3135
0.120,-1.015,3108
0.121,0.018,3108
0.122,0.438,3108
0.123,0.855,3108
0.124,1.180,3108
0.125,1.357,3108
0.126,1.375,3108
0.127,1.188,3108
0.128,0.858,3121
0.129,0.412,3121
0.130,-0.085,3121
0.131,-0.590,3121
0.132,-1.087,3121
0.133,-1.540,3121
0.134,-1.857,3121
0.135,-2.018,3121
0.136,-2.025,3121
0.137,-1.860,3121
0.138,-1.540,3103
0.139,-1.095,3103
0.140,-0.043,3103
0.141,0.390,3103
0.142,0.835,3103
0.143,1.157,3103
0.144,1.333,3103
0.145,1.345,3103
0.146,1.167,3103
0.147,0.853,3113
0.148,0.412,3113
0.149,-0.068,3113
0.150,-0.568,3113
0.151,-1.058,3113
0.152,-1.508,3113
0.153,-1.827,3113
0.154,-1.990,3113
0.155,-1.995,3113
0.156,-1.833,3113
0.157,-1.510,3120
0.158,-1.062,3120
0.159,-0.598,3120
0.160,0.472,3120
0.161,0.838,3120
0.162,1.153,3120
0.163,1.327,3120
0.164,1.333,3120
0.165,1.153,3120
0.166,0.843,3080
0.167,0.390,3080
0.168,-0.087,3080
0.169,-0.865,3080
0.170,-1.567,3080
0.171,-1.823,3080
0.172,-1.972,3080
0.173,-1.887,3080
0.174,-1.455,3106
0.175,-1.025,3106
0.176,-0.552,3106
0.177,0.203,3106
0.178,0.885,3106
0.179,1.177,3106
0.180,1.337,3106
0.181,1.165,3106
0.182,0.833,3147
0.183,0.395,3147
0.184,-0.090,3147
0.185,-0.593,3147
0.186,-1.097,3147
0.187,-1.542,3147
0.188,-1.863,3147
0.189,-2.022,3147
0.190,-2.022,3147
0.191,-1.847,3147
0.192,-1.522,3117
0.193,-1.067,3117
0.194,-0.588,3117
0.195,-0.100,3117
0.196,0.407,3117
