Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,-1.097,3127
0.004,-0.647,3127
0.008,-0.122,3109
0.012,0.448,3109
0.016,0.940,3109
0.020,1.317,3109
0.024,1.485,3109
0.028,1.488,3109
0.032,1.272,3109
0.036,0.912,3109
0.040,0.430,3109
0.044,-0.100,3109
0.048,-0.662,3106
0.052,-1.232,3106
0.056,-1.740,3106
0.060,-2.107,3106
0.064,-2.283,3106
0.068,-2.283,3106
0.072,-2.067,3106
0.076,-1.688,3106
0.080,-0.573,3109
0.084,0.460,3109
0.088,0.948,3109
0.092,1.333,3109
0.096,1.478,3109
0.100,1.472,3109
0.104,1.258,3109
0.108,0.892,3109
0.112,0.417,3109
0.116,-0.113,3109
0.120,-0.670,3107
0.124,-1.228,3107
0.128,-1.728,3107
0.132,-2.087,3107
0.136,-2.252,3107
0.140,-2.248,3107
0.144,-2.033,3107
0.148,-1.667,3107
0.152,-1.183,3107
0.156,-0.662,3107
0.160,0.530,3109
0.164,1.300,3109
0.168,1.468,3109
0.172,1.452,3109
0.176,1.248,3109
0.180,0.875,3109
0.184,0.400,3109
0.188,-0.128,3109
0.192,-0.685,3114
0.196,-1.248,3114
0.200,-1.745,3114
0.204,-2.103,3114
0.208,-2.275,3114
0.212,-2.268,3114
0.216,-2.060,3114
0.220,-1.702,3114
0.224,-1.212,3114
0.228,-0.682,3114
0.232,-0.125,3120
0.236,0.450,3120
0.240,1.353,3120
0.244,1.492,3120
0.248,1.488,3120
0.252,1.262,3120
0.256,0.902,3120
0.260,0.422,3120
0.264,-0.110,3120
0.268,-0.682,3123
0.272,-1.248,3123
0.276,-1.742,3123
0.280,-2.098,3123
0.284,-2.260,3123
0.288,-2.252,3123
0.292,-2.042,3123
0.296,-1.673,3123
0.300,-1.183,3123
0.304,-0.667,3123
0.308,-0.110,3139
0.312,0.458,3139
0.316,0.948,3139
0.320,1.512,3139
0.324,1.478,3139
0.328,1.300,3139
0.332,0.855,3139
0.336,0.438,3139
0.340,-0.083,3139
0.344,-0.623,3126
0.348,-1.188,3126
0.352,-1.688,3126
0.356,-2.042,3126
0.360,-2.208,3126
0.364,-2.208,3126
0.368,-2.015,3126
0.372,-1.657,3126
0.376,-1.173,3126
0.380,-0.657,3126
0.384,-0.113,3139
0.388,0.458,3139
0.392,0.938,3139
0.396,1.308,3139
0.400,1.448,3139
0.404,1.252,3139
0.408,0.887,3139
0.412,0.417,3139
0.416,-0.107,3139
0.420,-0.662,3154
0.424,-1.225,3154
0.428,-1.728,3154
0.432,-2.087,3154
0.436,-2.252,3154
0.440,-2.230,3154
0.444,-2.027,3154
0.448,-1.667,3154
0.452,-1.177,3154
0.456,-0.662,3154
0.460,-0.075,3143
0.464,0.455,3143
0.468,0.948,3143
0.472,1.323,3143
0.476,1.492,3143
0.480,1.220,3143
0.484,0.902,3143
0.488,0.422,3143
0.492,-0.102,3143
0.496,-0.660,3133
0.500,-1.225,3133
0.504,-1.712,3133
0.508,-2.062,3133
0.512,-2.220,3133
0.516,-2.208,3133
0.520,-2.005,3133
0.524,-1.643,3133
0.528,-1.153,3133
0.532,-0.623,3133
0.536,-0.072,3135
0.540,0.492,3135
0.544,0.980,3135
0.548,1.345,3135
0.552,1.510,3135
0.556,1.500,3135
0.560,0.833,3135
0.564,0.398,3135
0.568,-0.113,3135
0.572,-0.667,3131
0.576,-1.248,3131
0.580,-1.732,3131
0.584,-2.083,3131
0.588,-2.243,3131
0.592,-2.220,3131
0.596,-2.022,3131
0.600,-1.657,3131
0.604,-1.165,3131
0.608,-0.645,3131
0.612,-0.087,3148
0.616,0.472,3148
0.620,0.978,3148
0.624,1.345,3148
0.628,1.512,3148
0.632,1.508,3148
0.636,1.298,3148
0.640,0.347,3148
0.644,-0.098,3148
0.648,-0.672,3132
0.652,-1.252,3132
0.656,-1.740,3132
0.660,-2.098,3132
0.664,-2.260,3132
0.668,-2.250,3132
0.672,-2.030,3132
0.676,-1.670,3132
0.680,-1.177,3132
0.684,-0.652,3132
0.688,-0.107,3121
0.692,0.438,3121
0.696,0.927,3121
0.700,1.278,3121
0.704,1.462,3121
0.708,1.452,3121
0.712,1.230,3121
0.716,0.870,3121
0.720,-0.215,3121
0.724,-0.682,3127
0.728,-1.232,3127
0.732,-1.732,3127
0.736,-2.092,3127
0.740,-2.263,3127
0.744,-2.245,3127
0.748,-2.047,3127
0.752,-1.673,3127
0.756,-1.185,3127
0.760,-0.662,3127
0.764,-0.102,3136
0.768,0.468,3136
0.772,0.953,3136
0.776,1.337,3136
0.780,1.505,3136
0.784,1.502,3136
0.788,1.302,3136
0.792,0.917,3136
0.796,0.438,3136
0.800,-0.743,3128
0.804,-1.745,3128
0.808,-2.062,3128
0.812,-2.223,3128
0.816,-2.203,3128
0.820,-2.007,3128
0.824,-1.647,3128
0.828,-1.147,3128
0.832,-0.615,3128
0.836,-0.070,3129
0.840,0.500,3129
0.844,0.993,3129
0.848,1.337,3129
0.852,1.500,3129
0.856,1.472,3129
0.860,1.252,3129
0.864,0.875,3129
0.868,0.380,3129
0.872,-0.138,3129
0.876,-0.698,3129
0.880,-1.827,3135
0.884,-2.263,3135
0.888,-2.248,3135
0.892,-2.045,3135
0.896,-1.675,3135
0.900,-1.188,3135
0.904,-0.657,3135
0.908,-0.098,3135
0.912,0.460,3113
0.916,0.978,3113
0.920,1.333,3113
0.924,1.495,3113
0.928,1.482,3113
0.932,1.252,3113
0.936,0.870,3113
0.940,0.388,3113
0.944,-0.145,3113
0.948,-0.728,3113
0.952,-1.295,3125
0.956,-1.790,3125
0.960,-2.292,3125
0.964,-2.257,3125
0.968,-2.033,3125
0.972,-1.650,3125
0.976,-1.143,3125
0.980,-0.603,3125
0.984,-0.055,3125
0.988,0.525,3117
0.992,1.025,3117
0.996,1.377,3117
1.000,1.538,3117
1.004,1.518,3117
1.008,1.302,3117
1.012,0.902,3117
1.016,0.410,3117
1.020,-0.128,3117
1.024,-0.693,3117
1.028,-1.255,3112
1.032,-1.772,3112
1.036,-2.107,3112
1.040,-2.223,3112
1.044,-2.033,3112
1.048,-1.657,3112
1.052,-1.167,3112
1.056,-0.642,3112
1.060,-0.090,3112
1.064,0.463,3113
1.068,0.958,3113
1.072,1.312,3113
1.076,1.482,3113
1.080,1.465,3113
1.084,1.238,3113
1.088,0.860,3113
1.092,0.372,3113
1.096,-0.168,3113
1.100,-0.723,3113
1.104,-1.292,3103
1.108,-1.782,3103
1.112,-2.112,3103
1.116,-2.263,3103
1.120,-1.970,3103
1.124,-1.643,3103
1.128,-1.143,3103
1.132,-0.610,3103
1.136,-0.062,3103
1.140,0.497,3111
1.144,0.993,3111
1.148,1.333,3111
1.152,1.498,3111
1.156,1.482,3111
1.160,1.252,3111
1.164,0.887,3111
1.168,0.398,3111
1.172,-0.122,3111
1.176,-0.685,3111
1.180,-1.230,3103
1.184,-1.732,3103
1.188,-2.087,3103
1.192,-2.230,3103
1.196,-2.215,3103
1.200,-1.570,3103
1.204,-1.163,3103
1.208,-0.642,3103
1.212,-0.083,3103
1.216,0.477,3111
1.220,0.988,3111
1.224,1.343,3111
1.228,1.518,3111
1.232,1.498,3111
1.236,1.298,3111
1.240,0.917,3111
1.244,0.430,3111
1.248,-0.102,3111
1.252,-0.688,3111
1.256,-1.230,3108
1.260,-1.738,3108
1.264,-2.062,3108
1.268,-2.225,3108
1.272,-2.212,3108
1.276,-2.002,3108
1.280,-1.058,3108
1.284,-0.620,3108
1.288,-0.083,3108
1.292,0.468,3112
1.296,0.978,3112
1.300,1.310,3112
1.304,1.468,3112
1.308,1.452,3112
1.312,1.218,3112
1.316,0.848,3112
1.320,0.357,3112
1.324,-0.182,3112
1.328,-0.738,3112
1.332,-1.302,3132
1.336,-1.792,3132
1.340,-2.127,3132
1.344,-2.280,3132
1.348,-2.252,3132
1.352,-2.030,3132
1.356,-1.660,3132
1.360,-0.540,3132
1.364,-0.077,3132
1.368,0.477,3134
1.372,0.988,3134
1.376,1.345,3134
1.380,1.502,3134
1.384,1.492,3134
1.388,1.248,3134
1.392,0.868,3134
1.396,0.375,3134
1.400,-0.165,3134
1.404,-0.713,3134
1.408,-1.268,3140
1.412,-1.778,3140
1.416,-2.107,3140
1.420,-2.252,3140
1.424,-2.215,3140
1.428,-1.988,3140
1.432,-1.617,3140
1.436,-1.127,3140
1.440,0.052,3140
1.444,0.537,3136
1.448,1.018,3136
1.452,1.355,3136
1.456,1.518,3136
1.460,1.500,3136
1.464,1.272,3136
1.468,0.900,3136
1.472,0.417,3136
1.476,-0.113,3136
1.480,-0.670,3136
1.484,-1.232,3118
1.488,-1.740,3118
1.492,-2.092,3118
1.496,-2.255,3118
1.500,-2.228,3118
1.504,-2.027,3118
1.508,-1.663,3118
1.512,-1.177,3118
1.516,-0.652,3118
1.520,0.555,3133
1.524,1.327,3133
1.528,1.482,3133
1.532,1.462,3133
1.536,1.248,3133
1.540,0.877,3133
1.544,0.398,3133
1.548,-0.130,3133
1.552,-0.690,3133
1.556,-1.232,3126
1.560,-1.760,3126
1.564,-2.098,3126
1.568,-2.252,3126
1.572,-2.228,3126
1.576,-2.018,3126
1.580,-1.653,3126
1.584,-1.163,3126
1.588,-0.625,3126
1.592,-0.072,3126
1.596,0.500,3127
1.600,1.387,3127
1.604,1.502,3127
1.608,1.488,3127
1.612,1.262,3127
1.616,0.873,3127
1.620,0.400,3127
1.624,-0.128,3127
1.628,-0.690,3127
1.632,-1.248,3119
1.636,-1.772,3119
1.640,-2.268,3119
1.644,-2.243,3119
1.648,-2.022,3119
1.652,-1.647,3119
1.656,-1.150,3119
1.660,-0.618,3119
1.664,-0.058,3119
1.668,0.512,3145
1.672,1.012,3145
1.676,1.367,3145
1.680,1.468,3145
1.684,1.250,3145
1.688,0.887,3145
1.692,0.398,3145
1.696,-0.138,3145
1.700,-0.698,3145
1.704,-1.260,3135
1.708,-1.788,3135
1.712,-2.123,3135
1.716,-2.268,3135
1.720,-2.243,3135
1.724,-2.018,3135
1.728,-1.645,3135
1.732,-1.140,3135
1.736,-0.605,3135
1.740,-0.052,3135
1.744,0.517,3122
1.748,1.018,3122
1.752,1.357,3122
1.756,1.512,3122
1.760,1.198,3122
1.764,0.858,3122
1.768,0.393,3122
1.772,-0.135,3122
1.776,-0.690,3122
1.780,-1.235,3125
1.784,-1.742,3125
1.788,-2.087,3125
1.792,-2.243,3125
1.796,-2.217,3125
1.800,-2.007,3125
1.804,-1.640,3125
1.808,-1.147,3125
1.812,-0.623,3125
1.816,-0.068,3125
1.820,0.492,3133
1.824,0.988,3133
1.828,1.337,3133
1.832,1.498,3133
1.836,1.472,3133
1.840,0.797,3133
1.844,0.393,3133
1.848,-0.142,3133
1.852,-0.693,3133
1.856,-1.248,3127
1.860,-1.762,3127
1.864,-2.090,3127
1.868,-2.248,3127
1.872,-2.212,3127
1.876,-1.995,3127
1.880,-1.620,3127
1.884,-1.127,3127
1.888,-0.590,3127
1.892,-0.043,3127
1.896,0.532,3127
1.900,1.028,3122
1.904,1.383,3122
1.908,1.532,3122
1.912,1.508,3122
1.916,1.262,3122
1.920,0.300,3122
1.924,-0.142,3122
1.928,-0.708,3122
1.932,-1.260,3122
1.936,-1.768,3124
1.940,-2.105,3124
1.944,-2.250,3124
1.948,-2.212,3124
1.952,-1.988,3124
1.956,-1.610,3124
1.960,-1.107,3124
1.964,-0.578,3124
1.968,-0.030,3124
1.972,0.532,3124
1.976,1.018,3101
1.980,1.367,3101
1.984,1.512,3101
