Czas(s),EKG_Surowe(mV),PPG_Surowe(ADC)
0.000,-0.124,3132
0.001,-0.128,3132
0.002,-0.128,3132
0.003,-0.111,3124
0.004,-0.090,3124
0.005,-0.066,3124
0.006,-0.041,3124
0.007,-0.016,3124
0.008,0.011,3124
0.009,0.031,3124
0.010,0.049,3124
0.011,0.059,3124
0.012,0.066,3124
0.013,0.065,3125
0.014,0.049,3125
0.015,0.028,3125
0.016,-0.010,3125
0.017,-0.044,3125
0.018,-0.081,3125
0.019,-0.109,3125
0.020,-0.142,3125
0.021,-0.146,3125
0.022,-0.134,3136
0.023,-0.121,3136
0.024,-0.096,3136
0.025,-0.064,3136
0.026,-0.034,3136
0.027,-0.009,3136
0.028,0.011,3136
0.029,0.021,3136
0.030,0.019,3136
0.031,-0.003,3136
0.032,-0.024,3136
0.033,-0.055,3136
0.034,-0.095,3136
0.035,-0.134,3136
0.036,-0.182,3136
0.037,-0.224,3136
0.038,-0.261,3136
0.039,-0.294,3136
0.040,-0.324,3136
0.041,-0.321,3110
0.042,-0.304,3110
0.043,-0.284,3110
0.044,-0.249,3110
0.045,-0.214,3110
0.046,-0.182,3110
0.047,-0.154,3110
0.048,-0.131,3110
0.049,-0.121,3110
0.050,-0.121,3110
0.051,-0.126,3123
0.052,-0.138,3123
0.053,-0.168,3123
0.054,-0.195,3123
0.055,-0.234,3123
0.056,-0.276,3123
0.057,-0.321,3123
0.058,-0.351,3123
0.059,-0.371,3123
0.060,-0.400,3129
0.061,-0.356,3129
0.062,-0.341,3129
0.063,-0.311,3129
0.064,-0.286,3129
0.065,-0.265,3129
0.066,-0.249,3129
0.067,-0.231,3129
0.068,-0.194,3129
0.069,-0.241,3091
0.070,-0.254,3091
0.071,-0.271,3091
0.072,-0.297,3091
0.073,-0.331,3091
0.074,-0.362,3091
0.075,-0.385,3091
0.076,-0.406,3091
0.077,-0.411,3091
0.078,-0.410,3091
0.079,-0.404,3116
0.080,-0.349,3116
0.081,-0.306,3116
0.082,-0.274,3116
0.083,-0.246,3116
0.084,-0.216,3116
0.085,-0.204,3116
0.086,-0.203,3116
0.087,-0.205,3116
0.088,-0.215,3119
0.089,-0.245,3119
0.090,-0.274,3119
0.091,-0.314,3119
0.092,-0.361,3119
0.093,-0.401,3119
0.094,-0.431,3119
0.095,-0.446,3119
0.096,-0.454,3119
0.097,-0.449,3119
0.098,-0.440,3106
0.099,-0.416,3106
0.100,-0.400,3106
0.101,-0.289,3106
0.102,-0.255,3106
0.103,-0.231,3106
0.104,-0.231,3106
0.105,-0.242,3115
0.106,-0.261,3115
0.107,-0.280,3115
0.108,-0.304,3115
0.109,-0.334,3115
0.110,-0.364,3115
0.111,-0.389,3115
0.112,-0.409,3115
0.113,-0.417,3115
0.114,-0.411,3115
0.115,-0.401,3115
0.116,-0.374,3114
0.117,-0.341,3114
0.118,-0.296,3114
0.119,-0.261,3114
0.120,-0.198,3114
0.121,-0.188,3114
0.122,-0.189,3114
0.123,-0.201,3114
0.124,-0.224,3114
0.125,-0.260,3111
0.126,-0.290,3111
0.127,-0.326,3111
0.128,-0.357,3111
0.129,-0.386,3111
0.130,-0.415,3111
0.131,-0.431,3111
0.132,-0.431,3111
0.133,-0.426,3111
0.134,-0.414,3111
0.135,-0.386,3102
0.136,-0.354,3102
0.137,-0.310,3102
0.138,-0.269,3102
0.139,-0.229,3102
0.140,-0.184,3102
0.141,-0.175,3102
0.142,-0.181,3102
0.143,-0.198,3102
0.144,-0.216,3101
0.145,-0.250,3101
0.146,-0.281,3101
0.147,-0.309,3101
0.148,-0.349,3101
0.149,-0.370,3101
0.150,-0.386,3101
0.151,-0.400,3101
0.152,-0.389,3101
0.153,-0.374,3101
0.154,-0.351,3120
0.155,-0.323,3120
0.156,-0.286,3120
0.157,-0.250,3120
0.158,-0.211,3120
0.159,-0.181,3120
0.160,-0.144,3120
0.161,-0.166,3097
0.162,-0.226,3097
0.163,-0.264,3097
0.164,-0.297,3097
0.165,-0.334,3097
0.166,-0.366,3097
0.167,-0.386,3097
0.168,-0.394,3097
0.169,-0.391,3097
0.170,-0.381,3097
0.171,-0.356,3109
0.172,-0.331,3109
0.173,-0.294,3109
0.174,-0.264,3109
0.175,-0.229,3109
0.176,-0.206,3109
0.177,-0.186,3109
0.178,-0.174,3109
0.179,-0.174,3109
0.180,-0.205,3121
0.181,-0.249,3121
0.182,-0.269,3121
0.183,-0.289,3121
0.184,-0.306,3121
0.185,-0.324,3121
0.186,-0.334,3121
0.187,-0.331,3121
0.188,-0.320,3121
0.189,-0.349,3105
0.190,-0.273,3105
0.191,-0.234,3105
0.192,-0.206,3105
0.193,-0.184,3105
0.194,-0.168,3105
0.195,-0.151,3105
0.196,-0.151,3105
0.197,-0.164,3105
0.198,-0.176,3105
0.199,-0.196,3101
0.200,-0.261,3101
0.201,-0.286,3101
0.202,-0.311,3101
0.203,-0.338,3101
0.204,-0.354,3101
0.205,-0.364,3101
0.206,-0.361,3101
0.207,-0.351,3101
0.208,-0.330,3066
0.209,-0.291,3066
0.210,-0.261,3066
0.211,-0.224,3066
0.212,-0.189,3066
0.213,-0.166,3066
0.214,-0.144,3066
0.215,-0.129,3066
0.216,-0.129,3066
0.217,-0.133,3066
0.218,-0.151,3102
0.219,-0.184,3102
0.220,-0.275,3102
0.221,-0.326,3102
0.222,-0.315,3102
0.223,-0.343,3102
0.224,-0.351,3102
0.225,-0.354,3102
0.226,-0.341,3102
0.227,-0.320,3102
0.228,-0.286,3102
0.229,-0.256,3102
0.230,-0.221,3102
0.231,-0.194,3102
0.232,-0.166,3102
0.233,-0.149,3102
0.234,-0.141,3102
0.235,-0.146,3102
0.236,-0.169,3102
0.237,-0.191,3119
0.238,-0.217,3119
0.239,-0.254,3119
0.240,-0.324,3119
0.241,-0.344,3119
0.242,-0.361,3119
0.243,-0.366,3119
0.244,-0.366,3119
0.245,-0.355,3119
0.246,-0.331,3129
0.247,-0.301,3129
0.248,-0.266,3129
0.249,-0.226,3129
0.250,-0.191,3129
0.251,-0.166,3129
0.252,-0.146,3129
0.253,-0.130,3129
0.254,-0.142,3129
0.255,-0.154,3129
0.256,-0.181,3094
0.257,-0.210,3094
0.258,-0.245,3094
0.259,-0.282,3094
0.260,-0.347,3094
0.261,-0.364,3094
0.262,-0.374,3094
0.263,-0.366,3094
0.264,-0.345,3094
0.265,-0.321,3124
0.266,-0.284,3124
0.267,-0.253,3124
0.268,-0.223,3124
0.269,-0.196,3124
0.270,-0.182,3124
0.271,-0.175,3124
0.272,-0.174,3124
0.273,-0.175,3124
0.274,-0.189,3124
0.275,-0.209,3100
0.276,-0.234,3100
0.277,-0.271,3100
0.278,-0.296,3100
0.279,-0.333,3100
0.280,-0.366,3100
0.281,-0.366,3100
0.282,-0.361,3100
0.283,-0.366,3100
0.284,-0.324,3134
0.285,-0.292,3134
0.286,-0.269,3134
0.287,-0.244,3134
0.288,-0.214,3134
0.289,-0.194,3134
0.290,-0.184,3134
0.291,-0.174,3134
0.292,-0.171,3134
0.293,-0.180,3134
0.294,-0.193,3097
0.295,-0.211,3097
0.296,-0.241,3097
0.297,-0.266,3097
0.298,-0.291,3097
0.299,-0.323,3097
0.300,-0.344,3097
0.301,-0.336,3097
0.302,-0.330,3097
0.303,-0.306,3129
0.304,-0.284,3129
0.305,-0.255,3129
0.306,-0.221,3129
0.307,-0.189,3129
0.308,-0.166,3129
0.309,-0.146,3129
0.310,-0.136,3129
0.311,-0.141,3129
0.312,-0.150,3129
0.313,-0.181,3135
0.314,-0.211,3135
0.315,-0.245,3135
0.316,-0.281,3135
0.317,-0.306,3135
0.318,-0.330,3135
0.319,-0.343,3135
0.320,-0.349,3135
0.321,-0.335,3135
0.322,-0.314,3115
0.323,-0.286,3115
0.324,-0.251,3115
0.325,-0.209,3115
0.326,-0.174,3115
0.327,-0.146,3115
0.328,-0.129,3115
0.329,-0.116,3115
0.330,-0.116,3115
0.331,-0.126,3115
0.332,-0.138,3119
0.333,-0.169,3119
0.334,-0.196,3119
0.335,-0.244,3119
0.336,-0.273,3119
0.337,-0.306,3119
0.338,-0.330,3119
0.339,-0.344,3119
0.340,-0.336,3119
0.341,-0.324,3119
0.342,-0.296,3119
0.343,-0.268,3119
0.344,-0.231,3119
0.345,-0.196,3119
0.346,-0.166,3119
0.347,-0.141,3119
0.348,-0.128,3119
0.349,-0.129,3119
0.350,-0.136,3119
0.351,-0.165,3135
0.352,-0.201,3135
0.353,-0.233,3135
0.354,-0.274,3135
0.355,-0.307,3135
0.356,-0.335,3135
0.357,-0.350,3135
0.358,-0.356,3135
0.359,-0.349,3135
0.360,-0.294,3100
0.361,-0.225,3100
0.362,-0.186,3100
0.363,-0.145,3100
0.364,-0.110,3100
0.365,-0.090,3100
0.366,-0.085,3100
0.367,-0.089,3100
0.368,-0.109,3100
0.369,-0.141,3100
0.370,-0.186,3109
0.371,-0.233,3109
0.372,-0.282,3109
0.373,-0.311,3109
0.374,-0.347,3109
0.375,-0.370,3109
0.376,-0.376,3109
0.377,-0.374,3109
0.378,-0.357,3109
0.379,-0.331,3107
0.380,-0.254,3107
0.381,-0.221,3107
0.382,-0.181,3107
0.383,-0.145,3107
0.384,-0.124,3107
0.385,-0.106,3107
0.386,-0.107,3107
0.387,-0.116,3107
0.388,-0.134,3107
0.389,-0.165,3108
0.390,-0.196,3108
0.391,-0.228,3108
0.392,-0.264,3108
0.393,-0.289,3108
0.394,-0.304,3108
0.395,-0.311,3108
0.396,-0.311,3108
0.397,-0.299,3108
0.398,-0.286,3108
0.399,-0.263,3116
0.400,-0.191,3116
0.401,-0.141,3116
0.402,-0.116,3116
0.403,-0.101,3116
0.404,-0.094,3116
0.405,-0.106,3116
0.406,-0.121,3116
0.407,-0.149,3116
0.408,-0.190,3111
0.409,-0.204,3111
0.410,-0.246,3111
0.411,-0.268,3111
0.412,-0.286,3111
0.413,-0.295,3111
0.414,-0.296,3111
0.415,-0.286,3111
0.416,-0.265,3111
0.417,-0.242,3111
0.418,-0.206,3106
0.419,-0.169,3106
0.420,-0.089,3106
0.421,-0.058,3106
0.422,-0.037,3106
0.423,-0.029,3106
0.424,-0.029,3106
0.425,-0.045,3106
0.426,-0.069,3106
0.427,-0.096,3102
0.428,-0.129,3102
0.429,-0.169,3102
0.430,-0.209,3102
